,Actor,Actor_ID
0,Julia Roberts,1
1,Mahershala Ali,2
2,Ethan Hawke,3
3,Myha'la,4
4,TimothÃ©e Chalamet,5
5,Gustave Die,6
6,Murray McArthur,7
7,Paul G. Raymond,8
8,Emma Stone,9
9,Mark Ruffalo,10
10,Willem Dafoe,11
11,Ramy Youssef,12
12,Leonardo DiCaprio,13
13,Robert De Niro,14
14,Lily Gladstone,15
15,Jesse Plemons,16
16,Natalie Portman,17
17,Chris Tenzis,18
18,Charles Melton,19
19,Julianne Moore,20
20,Rachel Zegler,21
21,Tom Blyth,22
22,Viola Davis,23
23,Dexter Sol Ansell,24
24,Joaquin Phoenix,25
25,Vanessa Kirby,26
26,Tahar Rahim,27
27,Rupert Everett,28
28,Cillian Murphy,29
29,Emily Blunt,30
30,Matt Damon,31
31,Robert Downey Jr.,32
32,Hugh Grant,33
33,Martine McCutcheon,34
34,Liam Neeson,35
35,Laura Linney,36
36,Eddie Murphy,37
37,Tracee Ellis Ross,38
38,Jillian Bell,39
39,Genneya Walton,40
40,Barry Keoghan,41
41,Jacob Elordi,42
42,Archie Madekwe,43
43,Sadie Soverall,44
44,Margot Robbie,45
45,Ryan Gosling,46
46,Issa Rae,47
47,Kate McKinnon,48
48,Chevy Chase,49
49,Beverly D'Angelo,50
50,Juliette Lewis,51
51,Johnny Galecki,52
52,Sofia Boutella,53
53,Charlie Hunnam,54
54,Ed Skrein,55
55,Jena Malone,56
56,Mark Wahlberg,57
57,Michelle Monaghan,58
58,CiarÃ¡n Hinds,59
59,Zoe Margaret Colletti,60
60,Paul Giamatti,61
61,Da'Vine Joy Randolph,62
62,Dominic Sessa,63
63,Carrie Preston,64
64,Jennifer Garner,65
65,Ed Helms,66
66,Emma Myers,67
67,Brady Noon,68
68,Harrison Ford,69
69,Phoebe Waller-Bridge,70
70,Antonio Banderas,71
71,Karen Allen,72
72,Will Ferrell,73
73,James Caan,74
74,Bob Newhart,75
75,Zooey Deschanel,76
76,Jim Carrey,77
77,Taylor Momsen,78
78,Kelley,79
79,Jeffrey Tambor,80
80,Carey Mulligan,81
81,Bradley Cooper,82
82,Matt Bomer,83
83,Vincenzo Amato,84
84,Tony Shalhoub,85
85,Traylor Howard,86
86,Jason Gray-Stanford,87
87,Melora Hardin,88
88,Adam Sandler,89
89,Bill Burr,90
90,Cecily Strong,91
91,Jason Alexander,92
92,John David Washington,93
93,Madeleine Yuna Voyles,94
94,Gemma Chan,95
95,Allison Janney,96
96,Benedict Cumberbatch,97
97,Cameron Seely,98
98,Rashida Jones,99
99,Pharrell Williams,100
100,Thandiwe Newton,101
101,Zachary Levi,102
102,Bella Ramsey,103
103,Imelda Staunton,104
104,Bruce Willis,105
105,Alan Rickman,106
106,Bonnie Bedelia,107
107,Reginald VelJohnson,108
108,Michael Fassbender,109
109,Tilda Swinton,110
110,Charles Parnell,111
111,Arliss Howard,112
112,Chris Pratt,113
113,Anya Taylor-Joy,114
114,Charlie Day,115
115,Jack Black,116
116,David Harbour,117
117,John Leguizamo,118
118,Alex Hassell,119
119,Macaulay Culkin,120
120,Joe Pesci,121
121,Daniel Stern,122
122,Catherine O'Hara,123
123,Kenneth Branagh,124
124,Michelle Yeoh,125
125,Jamie Dornan,126
126,Tina Fey,127
127,Brie Larson,128
128,Teyonah Parris,129
129,Iman Vellani,130
130,Samuel L. Jackson,131
131,Ariana DeBose,132
132,Chris Pine,133
133,Alan Tudyk,134
134,Angelique Cabral,135
135,Tom Hanks,136
136,Chris Coppola,137
137,Michael Jeter,138
138,Leslie Zemeckis,139
139,James Stewart,140
140,Donna Reed,141
141,Lionel Barrymore,142
142,Thomas Mitchell,143
143,Josh Hutcherson,144
144,Piper Rubio,145
145,Elizabeth Lail,146
146,Matthew Lillard,147
147,Tim Allen,148
148,Judge Reinhold,149
149,Wendy Crewson,150
150,Eric Lloyd,151
151,Ben Foster,152
152,Toby Wallace,153
153,Jenna Ortega,154
154,Tommy Lee Jones,155
155,Patrick Dempsey,156
156,Ty Olsson,157
157,Gina Gershon,158
158,Gabriel Davenport,159
159,Kate Winslet,160
160,Cameron Diaz,161
161,Jude Law,162
162,Jennifer Lawrence,163
163,Liam Hemsworth,164
164,Stanley Tucci,165
165,Peter Billingsley,166
166,Melinda Dillon,167
167,Darren McGavin,168
168,Scott Schwartz,169
169,Gene Wilder,170
170,Jack Albertson,171
171,Peter Ostrum,172
172,Roy Kinnear,173
173,Anna Kendrick,174
174,Justin Timberlake,175
175,Kenan Thompson,176
176,Walt Dohrn,177
177,Bill Murray,178
178,John Forsythe,179
179,John Glover,180
180,Adam Driver,181
181,Shailene Woodley,182
182,Giuseppe Festinese,183
183,Alessandro Cremona,184
184,Andrew Barth Feldman,185
185,Laura Benanti,186
186,Matthew Broderick,187
187,Johnny Depp,188
