,Director,Director_ID
0,Sam Esmail,1
1,Paul King,2
2,Yorgos Lanthimos,3
3,Martin Scorsese,4
4,Todd Haynes,5
5,Francis Lawrence,6
6,Ridley Scott,7
7,Christopher Nolan,8
8,Richard Curtis,9
9,Reginald Hudlin,10
10,Emerald Fennell,11
11,Greta Gerwig,12
12,Jeremiah S. Chechik,13
13,Zack Snyder,14
14,Simon Cellan Jones,15
15,Alexander Payne,16
16,McG,17
17,James Mangold,18
18,Jon Favreau,19
19,Ron Howard,20
20,Bradley Cooper,21
21,Randy Zisk,22
22,Robert Marianetti,23
23,Robert Smigel,24
24,David Wachtenheim,25
25,Gareth Edwards,26
26,Yarrow Cheney,27
27,Scott Mosier,28
28,Sam Fell,29
29,John McTiernan,30
30,David Fincher,31
31,Aaron Horvath,32
32,Michael Jelenic,33
33,Pierre Leduc,34
34,Tommy Wirkola,35
35,Chris Columbus,36
36,Kenneth Branagh,37
37,Nia DaCosta,38
38,Chris Buck,39
39,Fawn Veerasunthorn,40
40,Robert Zemeckis,41
41,Frank Capra,42
42,Emma Tammi,43
43,John Pasquin,44
44,Brian Helgeland,45
45,Eli Roth,46
46,Nancy Meyers,47
47,Gary Ross,48
48,Bob Clark,49
49,Mel Stuart,50
50,Walt Dohrn,51
51,Tim Heitz,52
52,Richard Donner,53
53,Michael Mann,54
54,Gene Stupnitsky,55
55,Tim Burton,56
56,Ti West,57
57,Christopher McQuarrie,58
58,Joaquim Dos Santos,59
59,Kemp Powers,60
60,Justin K. Thompson,61
61,Wes Anderson,62
62,Angel Manuel Soto,63
63,William Oldroyd,64
64,Michael Matthews,65
65,Denis Villeneuve,66
66,Sean Anders,67
67,Kristoffer Borgli,68
68,Brian Levant,69
69,Sofia Coppola,70
70,Danny Philippou,71
71,Michael Philippou,72
72,Matt Reeves,73
73,Daniel Kwan,74
74,Daniel Scheinert,75
75,Cord Jefferson,76
76,Sam Boyd,77
77,Sergio Pablos,78
78,Carlos MartÃ­nez LÃ³pez,79
79,Frank Darabont,80
80,Paul Feig,81
81,Grant Singer,82
82,James Gunn,83
83,Joe Dante,84
84,Francis Ford Coppola,85
85,Antoine Fuqua,86
86,Mike Roth,87
87,William Eubank,88
88,Sam Wrench,89
89,Joe Roth,90
90,Chad Stahelski,91
91,Michael Lembeck,92
92,Neill Blomkamp,93
93,Peter Lord,94
94,Nick Park,95
95,Seth Gordon,96
96,George Miller,97
97,Edward Zwick,98
98,David Ayer,99
99,Brian Henson,100
100,Thomas Bezucha,101
101,Josh Gordon,102
102,Will Speck,103
103,Peter Jackson,104
104,Joe Wright,105
105,Pierre Morel,106
106,Quentin Tarantino,107
107,Lee Toland Krieger,108
108,David Gordon Green,109
109,Terry Zwigoff,110
110,Edgar Wright,111
111,Louis Leterrier,112
112,Justin Lin,113
113,Alejandro Monteverde,114
114,Michael Spierig,115
115,Peter Spierig,116
116,Michael Dougherty,117
117,Curtis Hanson,118
118,Steven Caple Jr.,119
119,Joseph Kosinski,120
120,Martin Brest,121
121,Clay Kaytis,122
122,John Francis Daley,123
123,Jonathan Goldstein,124
124,Henry Selick,125
125,John Whitesell,126
126,Emma Seligman,127
127,James Cameron,128
128,Gaspar NoÃ©,129
129,Kevin Greutert,130
130,Tyler MacIntyre,131
131,Damien Chazelle,132
132,David F. Sandberg,133
133,Zach Braff,134
134,Steven Spielberg,135
135,Renny Harlin,136
136,Chloe Domont,137
137,Victor Fleming,138
138,King Vidor,139
139,Joel Coen,140
140,Ethan Coen,141
141,Craig Gillespie,142
142,Arthur Hiller,143
143,Darren Aronofsky,144
144,Jimmy Chin,145
145,Elizabeth Chai Vasarhelyi,146
146,Ari Aster,147
147,Guy Ritchie,148
148,Andrew Adamson,149
149,Adam Wingard,150
150,Mark Waters,151
151,Brett Ratner,152
152,Robert Iscove,153
153,Ruben Ãstlund,154
154,Robert Eggers,155
155,Jon Watts,156
156,Jim Sharman,157
157,Peter Sohn,158
158,Ava DuVernay,159
159,Donovan Marsh,160
160,David Yates,161
161,Jonathan Demme,162
162,Todd Phillips,163
163,Andy Muschietti,164
164,Bill Burr,165
165,Rob Reiner,166
166,Sam Mendes,167
167,Luc Besson,168
168,Mike Newell,169
169,Mark Mylod,170
170,Scott Waugh,171
171,Mary Harron,172
172,David Dobkin,173
173,Stanley Kubrick,174
174,Seth Kearsley,175
175,Garth Jennings,176
176,Christophe Lourdelet,177
177,Jonathan Levine,178
178,David Leitch,179
179,Mark Osborne,180
180,John Stevenson,181
181,Bill Condon,182
182,Olivia Wilde,183
183,Rob Marshall,184
184,Marc Lawrence,185
185,Paul Thomas Anderson,186
186,Anthony Russo,187
187,Joe Russo,188
188,Troy Miller,189
189,Harold Ramis,190
190,Jeff Rowe,191
191,Kyler Spears,192
192,Jennifer Lee,193
193,Lana Wachowski,194
194,Lilly Wachowski,195
195,Paul Weitz,196
196,Chris Weitz,197
197,Cary Joji Fukunaga,198
198,George P. Cosmatos,199
199,Kevin Jarre,200
200,Paul Briganti,201
201,Nick Cassavetes,202
202,Catherine Hardwicke,203
203,Brian De Palma,204
204,Sam Taylor-Johnson,205
205,Gil Kenan,206
206,Taylor Sheridan,207
207,Ruben Fleischer,208
208,Brandon Cronenberg,209
209,Gil Junger,210
210,Neil Burger,211
211,Alfonso CuarÃ³n,212
212,Gus Van Sant,213
213,Adam McKay,214
214,Glenn Ficarra,215
215,John Requa,216
216,Adele Lim,217
217,Alex Garland,218
218,Martin McDonagh,219
219,John Landis,220
220,James Wan,221
221,Wolfgang Petersen,222
222,Bob Persichetti,223
223,Peter Ramsey,224
224,Rodney Rothman,225
225,Robert Rodriguez,226
226,Luca Guadagnino,227
227,Jordan Peele,228
228,Billy Wilder,229
229,Ben Wheatley,230
230,HernÃ¡n JimÃ©nez,231
231,Michel Gondry,232
232,Rawson Marshall Thurber,233
233,Sarah Smith,234
234,Barry Cook,235
235,Peter Farrelly,236
236,Molly Gordon,237
237,Nick Lieberman,238
238,Tony Scott,239
239,Sidney Lumet,240
240,Steve Antin,241
241,Matt Johnson,242
242,Martin Campbell,243
243,George Lucas,244
244,Christophe Gans,245
245,Norman Jewison,246
246,Rian Johnson,247
247,Michel Franco,248
248,Alan Taylor,249
249,Gore Verbinski,250
250,George Tillman Jr.,251
251,Marc Forster,252
252,Brian Duffield,253
253,Mark Sandrich,254
254,Robert Allen,255
255,Michael Cimino,256
256,Kelly Fremon Craig,257
257,Tate Taylor,258
258,Peter Weir,259
259,Robert Wise,260
260,Amy Heckerling,261
261,Lee Cronin,262
262,Spike Jonze,263
263,Taika Waititi,264
264,AndrÃ© Ãvredal,265
265,Ben Affleck,266
266,Andy Fickman,267
267,Chris Peckover,268
268,Rob Cohen,269
269,Ben Stiller,270
270,Ilya Naishuller,271
271,Peter Godfrey,272
272,Charlotte Wells,273
273,Nicholas Maggio,274
274,Nahnatchka Khan,275
275,Josh Greenbaum,276
276,David Lynch,277
277,Maggie Betts,278
278,Garry Marshall,279
279,Chris McKay,280
280,Clea DuVall,281
281,Dexter Fletcher,282
282,Nicolas Winding Refn,283
283,Bharat Nalluri,284
284,Jalmari Helander,285
285,Greg Mottola,286
286,Ivan Reitman,287
287,John Hughes,288
288,Phil Traill,289
289,Olivia Newman,290
290,Michael Dowse,291
291,Jaume Collet-Serra,292
292,Doug Liman,293
293,Mike Flanagan,294
294,Scott Beck,295
295,Bryan Woods,296
296,Peter Bogdanovich,297
297,Michael Chaves,298
298,Samuel Bodin,299
299,John Singleton,300
300,Bernardo Bertolucci,301
301,Jeff Nichols,302
302,Tim Miller,303
303,Matt Bettinelli-Olpin,304
304,Tyler Gillett,305
305,Theodore Melfi,306
306,Kathryn Bigelow,307
307,Zach Cregger,308
308,Vincente Minnelli,309
309,Cathy Yan,310
310,Lasse HallstrÃ¶m,311
311,Joe Johnston,312
312,Baz Luhrmann,313
313,M. Night Shyamalan,314
314,Bryan Singer,315
315,Thea Sharrock,316
316,Shawn Levy,317
317,Jordan Vogt-Roberts,318
318,Richard Linklater,319
319,Adrian Lyne,320
320,Parker Finn,321
321,Dan Mazer,322
322,George C. Wolfe,323
323,John Lasseter,324
324,Joe Ranft,325
325,Ric Roman Waugh,326
326,Jon Lucas,327
327,Scott Moore,328
328,William Friedkin,329
329,David O. Russell,330
330,John Boorman,331
331,Derek Cianfrance,332
332,Steven Shainberg,333
333,John Carpenter,334
334,Paul Verhoeven,335
335,Sam Raimi,336
336,Michael Gracey,337
337,Andrew Erwin,338
338,Jon Erwin,339
339,Anthony Minghella,340
340,Jon Turteltaub,341
341,Mel Gibson,342
342,Alejandro G. IÃ±Ã¡rritu,343
343,Clint Eastwood,344
344,Alessandro Carloni,345
345,Jennifer Yuh Nelson,346
346,Wes Ball,347
347,Joel Crawford,348
348,Januel Mercado,349
349,Janeen Damian,350
350,Milos Forman,351
351,Kay Cannon,352
352,Stephen Sommers,353
353,Benny Safdie,354
354,Josh Safdie,355
355,Mike Mitchell,356
356,Sharon Maguire,357
357,Roger Allers,358
358,Rob Minkoff,359
359,Aaron Nee,360
360,Adam Nee,361
361,Tony Kaye,362
362,Roman Polanski,363
363,Timothy Reckart,364
364,Jared Bush,365
365,Byron Howard,366
366,Charise Castro Smith,367
367,Joel Schumacher,368
368,Sergio Leone,369
369,Eshom NelmsIan Nelms,370
370,Richard Kelly,371
371,Scott Mann,372
372,Luke Greenfield,373
373,Glen Morgan,374
374,Cameron Crowe,375
375,Craig Zobel,376
376,Brad Bird,377
377,Jan Pinkava,378
378,David MichÃ´d,379
379,Tom Gormican,380
380,J.J. Abrams,381
381,Cal Brunker,382
382,Peter Faiman,383
383,Michael Mohan,384
384,Danny DeVito,385
385,Matthew LÃ³pez,386
386,Roland Emmerich,387
387,Jim Sheridan,388
388,Frank Miller,389
389,Dan Trachtenberg,390
390,Patty Jenkins,391
391,Mike Judge,392
392,Spike Lee,393
393,David Frankel,394
394,Meg Ryan,395
395,Matthew Vaughn,396
396,Elizabeth Banks,397
397,Bong Joon Ho,398
398,David M. Rosenthal,399
399,Steve McQueen,400
400,Jonathan Glazer,401
401,Jessica Yu,402
402,Jonathan Lynn,403
403,Barry Sonnenfeld,404
404,Jared Stern,405
405,Sam J. Levine,406
406,Michael Mayer,407
407,ChloÃ© Zhao,408
408,Steven Soderbergh,409
409,Jason Reitman,410
410,Guillermo del Toro,411
411,Mark Gustafson,412
412,Gary Winick,413
413,Peter Chelsom,414
414,Peyton Reed,415
415,Charles Shyer,416
416,Shane Black,417
417,Pete Docter,418
