Oscar_Winner_Demo_ID,Birthplace,Date_Of_Birth,Race_Ethnicity,Religion,Sexual_Orientation,Year_Of_Award,Award,Biourl,Movie_Name,Winner
1,"Chisinau, Moldova",30-Sep-1895,White,Na,Straight,1927,Best Director,http://www.nndb.com/people/320/000043191/,Two Arabian Knights,Lewis Milestone
2,"Glasgow, Scotland",2-Feb-1886,White,Na,Straight,1930,Best Director,http://www.nndb.com/people/626/000042500/,The Divine Lady,Frank Lloyd
3,"Chisinau, Moldova",30-Sep-1895,White,Na,Straight,1931,Best Director,http://www.nndb.com/people/320/000043191/,All Quiet on the Western Front,Lewis Milestone
4,"Chicago, Il",23-Feb-1899,White,Na,Straight,1932,Best Director,http://www.nndb.com/people/544/000041421/,Skippy,Norman Taurog
5,"Salt Lake City, Ut",23-Apr-1894,White,Roman Catholic,Straight,1933,Best Director,http://www.nndb.com/people/292/000044160/,Bad Girl,Frank Borzage
6,"Glasgow, Scotland",2-Feb-1886,White,Na,Straight,1934,Best Director,http://www.nndb.com/people/626/000042500/,Cavalcade,Frank Lloyd
7,"Bisacquino, Sicily, Italy",18-May-1897,White,Roman Catholic,Straight,1935,Best Director,http://www.nndb.com/people/459/000032363/,It Happened One Night,Frank Capra
8,"Cape Elizabeth, Me",1-Feb-1894,White,Roman Catholic,Bisexual,1936,Best Director,http://www.nndb.com/people/458/000032362/,The Informer,John Ford
9,"Bisacquino, Sicily, Italy",18-May-1897,White,Roman Catholic,Straight,1937,Best Director,http://www.nndb.com/people/459/000032363/,Mr. Deeds Goes to Town,Frank Capra
10,"Los Angeles, Ca",3-Oct-1898,White,Na,Straight,1938,Best Director,http://www.nndb.com/people/380/000044248/,The Awful Truth,Leo McCarey
11,"Bisacquino, Sicily, Italy",18-May-1897,White,Roman Catholic,Straight,1939,Best Director,http://www.nndb.com/people/459/000032363/,You Can't Take It with You,Frank Capra
12,"Pasadena, Ca",23-Feb-1883,White,Na,Straight,1940,Best Director,http://www.nndb.com/people/416/000041293/,Gone with the Wind,Victor Fleming
13,"Cape Elizabeth, Me",1-Feb-1894,White,Roman Catholic,Bisexual,1941,Best Director,http://www.nndb.com/people/458/000032362/,The Grapes of Wrath,John Ford
14,"Cape Elizabeth, Me",1-Feb-1894,White,Roman Catholic,Bisexual,1942,Best Director,http://www.nndb.com/people/458/000032362/,How Green Was My Valley,John Ford
15,"Mulhouse, Haut-Rhin, Alsace, France",1-Jul-02,White,Na,Straight,1943,Best Director,http://www.nndb.com/people/463/000032367/,Mrs. Miniver,William Wyler
16,"Budapest, Hungary",24-Dec-1886,White,Na,Straight,1944,Best Director,http://www.nndb.com/people/676/000032580/,Casablanca,Michael Curtiz
17,"Los Angeles, Ca",3-Oct-1898,White,Na,Straight,1945,Best Director,http://www.nndb.com/people/380/000044248/,Going My Way,Leo McCarey
18,"Los Angeles, Ca",3-Oct-1898,White,Na,Straight,1945,Best Director,http://www.nndb.com/people/380/000044248/,Going My Way,Leo McCarey
19,"Sucha, Galicia, Austria",22-Jun-06,White,Jewish,Straight,1946,Best Director,http://www.nndb.com/people/982/000024910/,The Lost Weekend,Billy Wilder
20,"Mulhouse, Haut-Rhin, Alsace, France",1-Jul-02,White,Na,Straight,1947,Best Director,http://www.nndb.com/people/463/000032367/,The Best Years of Our Lives,William Wyler
21,"Istanbul, Turkey",7-Sep-09,White,Na,Straight,1948,Best Director,http://www.nndb.com/people/537/000026459/,Gentleman's Agreement,Elia Kazan
22,"Nevada, Mo",5-Aug-06,White,Na,Straight,1949,Best Director,http://www.nndb.com/people/704/000024632/,The Treasure of the Sierra Madre,John Huston
23,"Nevada, Mo",5-Aug-06,White,Na,Straight,1949,Best Director,http://www.nndb.com/people/704/000024632/,The Treasure of the Sierra Madre,John Huston
24,"Nevada, Mo",5-Aug-06,White,Na,Straight,1949,Best Director,http://www.nndb.com/people/704/000024632/,The Treasure of the Sierra Madre,John Huston
25,"Nevada, Mo",5-Aug-06,White,Na,Straight,1949,Best Director,http://www.nndb.com/people/704/000024632/,The Treasure of the Sierra Madre,John Huston
26,"Wilkes-Barre, Pa",11-Feb-09,White,Jewish,Straight,1950,Best Director,http://www.nndb.com/people/723/000032627/,A Letter to Three Wives,Joseph L. Mankiewicz
27,"Wilkes-Barre, Pa",11-Feb-09,White,Jewish,Straight,1950,Best Director,http://www.nndb.com/people/723/000032627/,A Letter to Three Wives,Joseph L. Mankiewicz
28,"Oakland, Ca",18-Dec-04,White,Na,Straight,1952,Best Director,http://www.nndb.com/people/382/000044250/,A Place in the Sun,George Stevens
29,"Cape Elizabeth, Me",1-Feb-1894,White,Roman Catholic,Bisexual,1953,Best Director,http://www.nndb.com/people/458/000032362/,The Quiet Man,John Ford
30,"Vienna, Austria",29-Apr-07,White,Jewish,Straight,1954,Best Director,http://www.nndb.com/people/538/000032442/,From Here to Eternity,Fred Zinnemann
31,"Istanbul, Turkey",7-Sep-09,White,Na,Straight,1955,Best Director,http://www.nndb.com/people/537/000026459/,On the Waterfront,Elia Kazan
32,"Lawrence, Ks",30-Jan-20,White,Presbyterian,Straight,1956,Best Director,http://www.nndb.com/people/384/000044252/,Marty,Delbert Mann
33,"Oakland, Ca",18-Dec-04,White,Na,Straight,1957,Best Director,http://www.nndb.com/people/382/000044250/,Giant,George Stevens
34,"Croydon, Surrey, England",25-Mar-08,White,Na,Straight,1958,Best Director,http://www.nndb.com/people/462/000032366/,The Bridge on the River Kwai,David Lean
35,"Chicago, Il",28-Feb-03,White,Na,Bisexual,1959,Best Director,http://www.nndb.com/people/825/000032729/,Gigi,Vincente Minnelli
36,"Mulhouse, Haut-Rhin, Alsace, France",1-Jul-02,White,Na,Straight,1960,Best Director,http://www.nndb.com/people/463/000032367/,Ben-Hur,William Wyler
37,"Sucha, Galicia, Austria",22-Jun-06,White,Jewish,Straight,1961,Best Director,http://www.nndb.com/people/982/000024910/,The Apartment,Billy Wilder
38,"Sucha, Galicia, Austria",22-Jun-06,White,Jewish,Straight,1961,Best Director,http://www.nndb.com/people/982/000024910/,The Apartment,Billy Wilder
39,"Croydon, Surrey, England",25-Mar-08,White,Na,Straight,1963,Best Director,http://www.nndb.com/people/462/000032366/,Lawrence of Arabia,David Lean
40,"Shipley, Yorkshire, England",5-Jun-28,White,Na,Bisexual,1964,Best Director,http://www.nndb.com/people/249/000043120/,Tom Jones,Tony Richardson
41,New York City,7-Jul-1899,White,Na,Gay,1965,Best Director,http://www.nndb.com/people/373/000041250/,My Fair Lady,George Cukor
42,"Winchester, In",10-Sep-14,White,Na,Straight,1966,Best Director,http://www.nndb.com/people/460/000032364/,The Sound of Music,Robert Wise
43,"Vienna, Austria",29-Apr-07,White,Jewish,Straight,1967,Best Director,http://www.nndb.com/people/538/000032442/,A Man for All Seasons,Fred Zinnemann
44,"Berlin, Germany",6-Nov-31,White,Jewish,Straight,1968,Best Director,http://www.nndb.com/people/455/000023386/,The Graduate,Mike Nichols
45,"London, England",30-Dec-06,White,Na,Straight,1969,Best Director,http://www.nndb.com/people/290/000064098/,Oliver!,Carol Reed
46,"London, England",16-Feb-26,White,Na,Gay,1969,Best Director,http://www.nndb.com/people/771/000032675/,Midnight Cowboy,John Schlesinger
47,"Tokyo, Japan",30-May-20,White,Na,Straight,1970,Best Director,http://www.nndb.com/people/509/000032413/,Patton,Franklin J. Schaffner
48,"Chicago, Il",29-Aug-35,White,Jewish,Straight,1972,Best Director,http://www.nndb.com/people/112/000024040/,The French Connection,William Friedkin
49,"Chicago, Il",23-Jun-27,White,Na,Straight,1973,Best Director,http://www.nndb.com/people/159/000032063/,Cabaret,Bob Fosse
50,"Minneapolis, Mn",20-Dec-21,White,Na,Straight,1973,Best Director,http://www.nndb.com/people/783/000032687/,The Sting,George Roy Hill
51,"Detroit, Mi",7-Apr-39,White,Na,Straight,1975,Best Director,http://www.nndb.com/people/866/000022800/,The Godfather Part II,Francis Ford Coppola
52,"CÌÁslav, Czechoslovakia",18-Feb-32,White,Na,Straight,1976,Best Director,http://www.nndb.com/people/622/000023553/,One Flew over the Cuckoo's Nest,Milos Forman
53,"Oak Park, Il",21-Dec-35,White,Na,Straight,1976,Best Director,http://www.nndb.com/people/679/000032583/,Rocky,John G. Avildsen
54,"Brooklyn, Ny",1-Dec-35,White,Jewish,Straight,1978,Best Director,http://www.nndb.com/people/501/000022435/,Annie Hall,Woody Allen
55,New York City,3-Feb-39,White,Na,Straight,1979,Best Director,http://www.nndb.com/people/810/000043681/,The Deer Hunter,Michael Cimino
56,New York City,3-Feb-39,White,Na,Straight,1979,Best Director,http://www.nndb.com/people/810/000043681/,The Deer Hunter,Michael Cimino
57,"Waxahachie, Tx",29-Sep-32,White,Na,Straight,1980,Best Director,http://www.nndb.com/people/267/000064075/,Kramer vs. Kramer,Robert Benton
58,"Waxahachie, Tx",29-Sep-32,White,Na,Straight,1980,Best Director,http://www.nndb.com/people/267/000064075/,Kramer vs. Kramer,Robert Benton
59,"Santa Monica, Ca",18-Aug-1936 [1],White,Na,Straight,1980,Best Director,http://www.nndb.com/people/795/000022729/,Ordinary People,Robert Redford
60,"Richmond, Va",30-Mar-37,White,Baptist,Straight,1981,Best Director,http://www.nndb.com/people/719/000022653/,Reds,Warren Beatty
