Movie Name,year,status,award,movie
Barbie,2024,Winner,Cinematic and Box Office Achievement,
Barbie,2024,Winner,Cinematic and Box Office Achievement,
Christopher Nolan,2024,Winner,Best Director - Motion Picture,Oppenheimer
Christopher Nolan,2024,Winner,Best Director - Motion Picture,Oppenheimer
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language,
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language,
Emma Stone,2024,Winner,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Poor Things
Poor Things,2024,Winner,Best Motion Picture - Musical or Comedy,
Poor Things,2024,Winner,Best Motion Picture - Musical or Comedy,
Cillian Murphy,2024,Winner,Best Performance by a Male Actor in a Motion Picture – Drama,Oppenheimer
Lily Gladstone,2024,Winner,Best Performance by a Female Actor in a Motion Picture – Drama,Killers of the Flower Moon
What Was I Made For?,2024,Winner,Best Original Song - Motion Picture,Barbie
Lily Gladstone,2024,Winner,Best Performance by a Female Actor in a Motion Picture – Drama,Killers of the Flower Moon
What Was I Made For?,2024,Winner,Best Original Song - Motion Picture,Barbie
Ludwig Göransson,2024,Winner,Best Original Score - Motion Picture,Oppenheimer
Oppenheimer,2024,Winner,Best Motion Picture - Drama,
"Fabelmans, The",2023,Winner,Best Motion Picture - Drama,
Cate Blanchett,2023,Winner,Best Performance by an Actress in a Motion Picture - Drama,TÁR
"Fabelmans, The",2023,Winner,Best Motion Picture - Drama,
Cate Blanchett,2023,Winner,Best Performance by an Actress in a Motion Picture - Drama,TÁR
Austin Butler,2023,Winner,Best Performance by an Actor in a Motion Picture - Drama,Elvis
"Banshees of Inisherin, The",2023,Winner,Best Motion Picture - Musical or Comedy,
Michelle Yeoh,2023,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Everything Everywhere All at Once
Colin Farrell,2023,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Banshees of Inisherin, The"
Guillermo del Toro's Pinocchio,2023,Winner,Best Motion Picture - Animated,
"Argentina, 1985",2023,Winner,Best Motion Picture – Non-English Language,
Angela Bassett,2023,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Black Panther: Wakanda Forever
Ke Huy Quan,2023,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Everything Everywhere All at Once
Steven Spielberg,2023,Winner,Best Director - Motion Picture,"Fabelmans, The"
Martin McDonagh,2023,Winner,Best Screenplay - Motion Picture,"Banshees of Inisherin, The"
Justin Hurwitz,2023,Winner,Best Original Score - Motion Picture,Babylon
Naatu Naatu,2023,Winner,Best Original Song - Motion Picture,RRR
"Power of the Dog, The",2022,Winner,Best Motion Picture - Drama,
Nicole Kidman,2022,Winner,Best Performance by an Actress in a Motion Picture - Drama,Being the Ricardos
Will Smith,2022,Winner,Best Performance by an Actor in a Motion Picture - Drama,King Richard
West Side Story (2021),2022,Winner,Best Motion Picture - Musical or Comedy,
Will Smith,2022,Winner,Best Performance by an Actor in a Motion Picture - Drama,King Richard
West Side Story (2021),2022,Winner,Best Motion Picture - Musical or Comedy,
Rachel Zegler,2022,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,West Side Story (2021)
Andrew Garfield,2022,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"tick, tick...BOOM!"
Encanto,2022,Winner,Best Motion Picture - Animated,
Ariana DeBose,2022,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,West Side Story (2021)
Kodi Smit-McPhee,2022,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Power of the Dog, The"
Ariana DeBose,2022,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,West Side Story (2021)
Kodi Smit-McPhee,2022,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Power of the Dog, The"
Jane Campion,2022,Winner,Best Director - Motion Picture,"Power of the Dog, The"
Kenneth Branagh,2022,Winner,Best Screenplay - Motion Picture,Belfast
Hans Zimmer,2022,Winner,Best Original Score - Motion Picture,Dune
No Time To Die,2022,Winner,Best Original Song - Motion Picture,No Time To Die
Nomadland,2021,Winner,Best Motion Picture - Drama,
Andra Day,2021,Winner,Best Performance by an Actress in a Motion Picture - Drama,"United States vs. Billie Holiday, The"
Chadwick Boseman,2021,Winner,Best Performance by an Actor in a Motion Picture - Drama,Ma Rainey's Black Bottom
Borat Subsequent Moviefilm,2021,Winner,Best Motion Picture - Musical or Comedy,
Andra Day,2021,Winner,Best Performance by an Actress in a Motion Picture - Drama,"United States vs. Billie Holiday, The"
Chadwick Boseman,2021,Winner,Best Performance by an Actor in a Motion Picture - Drama,Ma Rainey's Black Bottom
Borat Subsequent Moviefilm,2021,Winner,Best Motion Picture - Musical or Comedy,
Rosamund Pike,2021,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,I Care A Lot
Sacha Baron Cohen,2021,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Borat Subsequent Moviefilm
Soul,2021,Winner,Best Motion Picture - Animated,
Minari,2021,Winner,Best Motion Picture – Non-English Language,
Jodie Foster,2021,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Mauritanian, The"
Daniel Kaluuya,2021,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Judas and the Black Messiah
Chloé Zhao,2021,Winner,Best Director - Motion Picture,Nomadland
Aaron Sorkin,2021,Winner,Best Screenplay - Motion Picture,"Trial of the Chicago 7, The"
"Trent Reznor, Atticus Ross, Jon Batiste",2021,Winner,Best Original Score - Motion Picture,Soul
1917,2020,Winner,Best Motion Picture - Drama,
Renée Zellweger,2020,Winner,Best Performance by an Actress in a Motion Picture - Drama,Judy
Awkwafina .,2020,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Farewell, The"
Taron Egerton,2020,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rocketman
Awkwafina .,2020,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Farewell, The"
Taron Egerton,2020,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Rocketman
Missing Link,2020,Winner,Best Motion Picture - Animated,
Parasite,2020,Winner,Best Motion Picture – Non-English Language,
Laura Dern,2020,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marriage Story
Brad Pitt,2020,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Once Upon a Time...in Hollywood
Sam Mendes,2020,Winner,Best Director - Motion Picture,1917
Quentin Tarantino,2020,Winner,Best Screenplay - Motion Picture,Once Upon a Time...in Hollywood
Hildur Guðnadóttir,2020,Winner,Best Original Score - Motion Picture,Joker
I'm Gonna Love Me Again,2020,Winner,Best Original Song - Motion Picture,Rocketman
Bohemian Rhapsody,2019,Winner,Best Motion Picture - Drama,
Green Book,2019,Winner,Best Motion Picture - Musical or Comedy,
Spider-Man: Into the Spider-Verse,2019,Winner,Best Motion Picture - Animated,
Roma,2019,Winner,Best Motion Picture – Non-English Language,
Glenn Close,2019,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Wife, The"
Olivia Colman,2019,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Favourite, The"
Christian Bale,2019,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Vice
Olivia Colman,2019,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Favourite, The"
Christian Bale,2019,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Vice
Alfonso Cuarón,2019,Winner,Best Director - Motion Picture,Roma
"Nick Vallelonga, Brian Currie, Peter Farrelly",2019,Winner,Best Screenplay - Motion Picture,Green Book
Justin Hurwitz,2019,Winner,Best Original Score - Motion Picture,First Man
Shallow,2019,Winner,Best Original Song - Motion Picture,"Star Is Born, A (2018)"
Justin Hurwitz,2019,Winner,Best Original Score - Motion Picture,First Man
Shallow,2019,Winner,Best Original Song - Motion Picture,"Star Is Born, A (2018)"
"Three Billboards Outside Ebbing, Missouri",2018,Winner,Best Motion Picture - Drama,
Lady Bird,2018,Winner,Best Motion Picture - Musical or Comedy,
Coco,2018,Winner,Best Motion Picture - Animated,
In The Fade,2018,Winner,Best Motion Picture – Non-English Language,
Frances McDormand,2018,Winner,Best Performance by an Actress in a Motion Picture - Drama,"Three Billboards Outside Ebbing, Missouri"
Gary Oldman,2018,Winner,Best Performance by an Actor in a Motion Picture - Drama,Darkest Hour
Saoirse Ronan,2018,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lady Bird
James Franco,2018,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Disaster Artist, The"
Gary Oldman,2018,Winner,Best Performance by an Actor in a Motion Picture - Drama,Darkest Hour
Saoirse Ronan,2018,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Lady Bird
