Year Film,Year Ceremony,Award,Name of Winner,Movie Name,Oscar Award ID
1927,1928,ACTOR,Emil Jannings,The Last Command,OWA0001
1927,1928,ACTRESS,Janet Gaynor,7th Heaven,OWA0002
1927,1928,ART DIRECTION,William Cameron Menzies,The Dove;,OWA0003
1927,1928,CINEMATOGRAPHY,Charles Rosher,Sunrise,OWA0004
1927,1928,CINEMATOGRAPHY,Karl Struss,Sunrise,OWA0004
1927,1928,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,OWA0005
1927,1928,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,OWA0006
1927,1928,ENGINEERING EFFECTS,Roy Pomeroy,Wings,OWA0007
1927,1928,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,OWA0008
1927,1928,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,OWA0009
1927,1928,WRITING (Adaptation),Benjamin Glazer,7th Heaven,OWA0010
1927,1928,WRITING (Original Story),Ben Hecht,Underworld,OWA0011
1928,1929,ACTOR,Warner Baxter,In Old Arizona,OWA0001
1928,1929,ACTRESS,Mary Pickford,Coquette,OWA0002
1928,1929,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,OWA0003
1928,1929,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,OWA0004
1928,1929,DIRECTING,Frank Lloyd,The Divine Lady,OWA0012
1928,1929,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,OWA0008
1928,1929,WRITING,Hans Kraly,The Patriot,OWA0013
1929,1930,ACTOR,George Arliss,Disraeli,OWA0001
1929,1930,ACTRESS,Norma Shearer,The Divorcee,OWA0002
1929,1930,ART DIRECTION,Herman Rosse,King of Jazz,OWA0003
1929,1930,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,OWA0004
1929,1930,DIRECTING,Lewis Milestone,All Quiet on the Western Front,OWA0012
1929,1930,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,OWA0014
1929,1930,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,OWA0015
1929,1930,WRITING,Frances Marion,The Big House,OWA0013
1930,1931,ACTOR,Lionel Barrymore,A Free Soul,OWA0001
1930,1931,ACTRESS,Marie Dressler,Min and Bill,OWA0002
1930,1931,ART DIRECTION,Max Rée,Cimarron,OWA0003
1930,1931,CINEMATOGRAPHY,Floyd Crosby,Tabu,OWA0004
1930,1931,DIRECTING,Norman Taurog,Skippy,OWA0012
1930,1931,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,OWA0014
1930,1931,WRITING (Adaptation),Howard Estabrook,Cimarron,OWA0010
1930,1931,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,OWA0011
1931,1932,ACTOR,Wallace Beery,The Champ,OWA0001
1931,1932,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,OWA0001
1931,1932,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,OWA0002
1931,1932,ART DIRECTION,Gordon Wiles,Transatlantic,OWA0003
1931,1932,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,OWA0004
1931,1932,DIRECTING,Frank Borzage,Bad Girl,OWA0012
1931,1932,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,OWA0014
1931,1932,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,OWA0016
1931,1932,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,OWA0017
1931,1932,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,OWA0018
1931,1932,WRITING (Adaptation),Edwin Burke,Bad Girl,OWA0010
1931,1932,WRITING (Original Story),Frances Marion,The Champ,OWA0011
1932,1933,ACTOR,Charles Laughton,The Private Life of Henry VIII,OWA0001
1932,1933,ACTRESS,Katharine Hepburn,Morning Glory,OWA0002
1932,1933,ART DIRECTION,William S. Darling,Cavalcade,OWA0003
1932,1933,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms,OWA0004
1932,1933,DIRECTING,Frank Lloyd,Cavalcade,OWA0012
1932,1933,OUTSTANDING PRODUCTION,Fox,Cavalcade,OWA0014
1932,1933,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,OWA0016
1932,1933,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,OWA0017
1932,1933,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,OWA0018
1932,1933,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,OWA0015
1932,1933,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,OWA0010
1932,1933,WRITING (Original Story),Robert Lord,One Way Passage,OWA0011
