Movie_ID,Oscar_Award_ID,GG_Award_ID
1,,
2,,
3,,
4,,
5,,
6,OWA0081,GG005
7,,
8,,
9,,
10,,GG006
11,,
12,OWA0012,
12,OWA0020,
12,OWA0060,
12,OWA0099,
13,,
14,,
15,,
16,,GG002
17,,GG014
18,,
19,,
20,OWA0080,GG003
20,OWA0020,GG003
21,OWA0003,GG011
21,OWA0004,GG011
21,OWA0097,GG011
21,OWA0100,GG011
21,OWA0084,GG011
22,OWA0026,GG013
22,OWA0026,GG001
22,OWA0003,GG013
22,OWA0003,GG001
22,OWA0004,GG013
22,OWA0004,GG001
22,OWA0053,GG013
22,OWA0053,GG001
22,OWA0020,GG013
22,OWA0020,GG001
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,OWA0080,GG001
35,OWA0080,GG013
35,OWA0053,GG001
35,OWA0053,GG013
35,OWA0060,GG001
35,OWA0060,GG013
35,OWA0057,GG001
35,OWA0057,GG013
35,OWA0084,GG001
35,OWA0084,GG013
36,,
37,,
38,OWA0084,
39,,
40,,
41,,GG004
41,,GG006
42,,
43,OWA0020,
43,OWA0057,
44,,
45,,
46,,
47,,
48,,
49,,
50,OWA0088,
51,,
52,OWA0084,
53,OWA0025,GG010
53,OWA0097,GG010
54,OWA0004,
54,OWA0097,
54,OWA0100,
54,OWA0084,
55,,
56,,
57,OWA0084,
58,,
59,,
60,OWA0020,
60,OWA0097,
60,OWA0100,
61,,
62,,
63,,
64,,
65,,
66,OWA0036,
67,,
68,OWA0010,
68,OWA0035,
68,OWA0053,
69,,GG004
69,,GG005
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,OWA0099,GG004
84,,
85,,
86,,
87,,
88,,
89,OWA0020,
89,OWA0097,
90,,
91,OWA0026,
92,,
93,,
94,,
95,OWA0081,
96,,
97,,
98,,
99,,
100,,
101,OWA0084,
102,,
103,OWA0026,GG003
103,OWA0026,GG012
103,OWA0026,GG001
103,OWA0026,GG009
103,OWA0012,GG003
103,OWA0012,GG012
103,OWA0012,GG001
103,OWA0012,GG009
103,OWA0060,GG003
103,OWA0060,GG012
103,OWA0060,GG001
103,OWA0060,GG009
103,OWA0095,GG003
103,OWA0095,GG012
103,OWA0095,GG001
103,OWA0095,GG009
104,,
105,,
106,OWA0020,
106,OWA0057,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,OWA0011,
114,OWA0078,
114,OWA0078,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,OWA0093,
125,,
126,,
127,,
128,,
129,OWA0020,GG011
129,OWA0020,GG001
129,OWA0030,GG011
129,OWA0030,GG001
129,OWA0099,GG011
129,OWA0099,GG001
130,OWA0020,
131,,
132,OWA0003,
132,OWA0092,
132,OWA0084,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,OWA0092,GG004
141,OWA0092,GG006
142,,
143,,
144,,
145,OWA0053,
146,OWA0026,
147,OWA0036,GG012
148,,
149,,
150,,
151,,
152,OWA0072,
153,OWA0080,GG001
153,OWA0080,GG011
153,OWA0012,GG001
153,OWA0012,GG011
153,OWA0020,GG001
153,OWA0020,GG011
153,OWA0060,GG001
153,OWA0060,GG011
153,OWA0084,GG001
153,OWA0084,GG011
153,OWA0095,GG001
153,OWA0095,GG011
154,OWA0093,
155,,GG003
156,,
157,,
158,OWA0020,
158,OWA0093,
158,OWA0084,
159,,
160,,
161,OWA0084,
162,OWA0030,
162,OWA0022,
163,,
164,,
165,,
166,,
167,,
