Movie_Name,Rating,Votes,Meta_score,PG_Rating,Year,Duration,Movie_ID,Director_ID,Oscar_Award_ID,GG_Award_ID
Leave the World Behind,6.5,90000,67,R,2023,2h 18m,1,1,,
Wonka,7.4,24000,66,PG,2023,1h 56m,2,2,,
Paddington 2,7.8,90000,88,PG,2017,1h 43m,665,2,,
Paddington,7.3,129000,77,PG,2014,1h 35m,717,2,,
Poor Things,8.5,6700,86,R,2023,2h 21m,3,3,,
The Favourite,7.5,216000,91,R,2018,1h 59m,144,3,OWA0081,GG005
The Killing of a Sacred Deer,7.0,174000,73,R,2017,2h 1m,181,3,,
The Lobster,7.1,281000,82,R,2015,1h 59m,281,3,,
Killers of the Flower Moon,7.8,128000,89,R,2023,3h 26m,4,4,,
The Wolf of Wall Street,8.2,1500000,75,R,2013,3h,77,4,,GG006
Goodfellas,8.7,1200000,92,R,1990,2h 25m,146,4,,
The Departed,8.5,1400000,85,R,2006,2h 31m,192,4,OWA0012,
The Departed,8.5,1400000,85,R,2006,2h 31m,192,4,OWA0020,
The Departed,8.5,1400000,85,R,2006,2h 31m,192,4,OWA0060,
The Departed,8.5,1400000,85,R,2006,2h 31m,192,4,OWA0099,
Shutter Island,8.2,1400000,63,R,2010,2h 18m,257,4,,
Taxi Driver,8.2,899000,94,R,1976,1h 54m,302,4,,
The Irishman,7.8,421000,94,R,2019,3h 29m,307,4,,
Casino,8.2,553000,73,R,1995,2h 58m,600,4,,GG002
Gangs of New York,7.5,466000,72,R,2002,2h 47m,725,4,,GG014
Cape Fear,7.3,212000,73,R,1991,2h 8m,1102,4,,
Silence,7.2,121000,79,R,2016,2h 41m,1162,4,,
Raging Bull,8.1,373000,90,R,1980,2h 9m,1176,4,OWA0080,GG003
Raging Bull,8.1,373000,90,R,1980,2h 9m,1176,4,OWA0020,GG003
Hugo,7.5,334000,83,PG,2011,2h 6m,1335,4,OWA0003,GG011
Hugo,7.5,334000,83,PG,2011,2h 6m,1335,4,OWA0004,GG011
Hugo,7.5,334000,83,PG,2011,2h 6m,1335,4,OWA0097,GG011
Hugo,7.5,334000,83,PG,2011,2h 6m,1335,4,OWA0100,GG011
Hugo,7.5,334000,83,PG,2011,2h 6m,1335,4,OWA0084,GG011
