Movie Name,Rating,Votes,Meta Score,PG Rating,Year_x,Duration,Director,Movie ID,Director ID,Oscar Award ID,GG Award ID
Leave the World Behind,6.5,90000.0,67.0,R,2023,2h 18m,Sam Esmail,1,1,N/A,N/A
Wonka,7.4,24000.0,66.0,PG,2023,1h 56m,Paul King,2,2,N/A,N/A
Paddington 2,7.8,90000.0,88.0,PG,2017,1h 43m,Paul King,665,2,N/A,N/A
Paddington,7.3,129000.0,77.0,PG,2014,1h 35m,Paul King,717,2,N/A,N/A
Poor Things,8.5,6700.0,86.0,R,2023,2h 21m,Yorgos Lanthimos,3,3,OWA0081,GG006
Poor Things,8.5,6700.0,86.0,R,2023,2h 21m,Yorgos Lanthimos,3,3,OWA0053,GG006
Poor Things,8.5,6700.0,86.0,R,2023,2h 21m,Yorgos Lanthimos,3,3,OWA0101,GG006
Poor Things,8.5,6700.0,86.0,R,2023,2h 21m,Yorgos Lanthimos,3,3,OWA0102,GG006
The Favourite,7.5,216000.0,91.0,R,2018,1h 59m,Yorgos Lanthimos,144,3,OWA0081,N/A
The Killing of a Sacred Deer,7.0,174000.0,73.0,R,2017,2h 1m,Yorgos Lanthimos,181,3,N/A,N/A
The Lobster,7.1,281000.0,82.0,R,2015,1h 59m,Yorgos Lanthimos,281,3,N/A,N/A
Killers of the Flower Moon,7.8,128000.0,89.0,R,2023,3h 26m,Martin Scorsese,4,4,N/A,N/A
The Wolf of Wall Street,8.2,1500000.0,75.0,R,2013,3h,Martin Scorsese,77,4,N/A,N/A
Goodfellas,8.7,1200000.0,92.0,R,1990,2h 25m,Martin Scorsese,146,4,N/A,N/A
The Departed,8.5,1400000.0,85.0,R,2006,2h 31m,Martin Scorsese,192,4,OWA0012,N/A
The Departed,8.5,1400000.0,85.0,R,2006,2h 31m,Martin Scorsese,192,4,OWA0020,N/A
The Departed,8.5,1400000.0,85.0,R,2006,2h 31m,Martin Scorsese,192,4,OWA0060,N/A
The Departed,8.5,1400000.0,85.0,R,2006,2h 31m,Martin Scorsese,192,4,OWA0099,N/A
Shutter Island,8.2,1400000.0,63.0,R,2010,2h 18m,Martin Scorsese,257,4,N/A,N/A
Taxi Driver,8.2,899000.0,94.0,R,1976,1h 54m,Martin Scorsese,302,4,N/A,N/A
The Irishman,7.8,421000.0,94.0,R,2019,3h 29m,Martin Scorsese,307,4,N/A,N/A
Casino,8.2,553000.0,73.0,R,1995,2h 58m,Martin Scorsese,600,4,N/A,N/A
Gangs of New York,7.5,466000.0,72.0,R,2002,2h 47m,Martin Scorsese,725,4,N/A,N/A
Cape Fear,7.3,212000.0,73.0,R,1991,2h 8m,Martin Scorsese,1102,4,N/A,N/A
Silence,7.2,121000.0,79.0,R,2016,2h 41m,Martin Scorsese,1162,4,N/A,N/A
Raging Bull,8.1,373000.0,90.0,R,1980,2h 9m,Martin Scorsese,1176,4,OWA0080,N/A
Raging Bull,8.1,373000.0,90.0,R,1980,2h 9m,Martin Scorsese,1176,4,OWA0020,N/A
Hugo,7.5,334000.0,83.0,PG,2011,2h 6m,Martin Scorsese,1335,4,OWA0003,N/A
Hugo,7.5,334000.0,83.0,PG,2011,2h 6m,Martin Scorsese,1335,4,OWA0004,N/A
Hugo,7.5,334000.0,83.0,PG,2011,2h 6m,Martin Scorsese,1335,4,OWA0097,N/A
Hugo,7.5,334000.0,83.0,PG,2011,2h 6m,Martin Scorsese,1335,4,OWA0100,N/A
Hugo,7.5,334000.0,83.0,PG,2011,2h 6m,Martin Scorsese,1335,4,OWA0084,N/A
The Aviator,7.5,379000.0,77.0,PG-13,2004,2h 50m,Martin Scorsese,1511,4,OWA0026,GG010
The Aviator,7.5,379000.0,77.0,PG-13,2004,2h 50m,Martin Scorsese,1511,4,OWA0003,GG010
The Aviator,7.5,379000.0,77.0,PG-13,2004,2h 50m,Martin Scorsese,1511,4,OWA0004,GG010
The Aviator,7.5,379000.0,77.0,PG-13,2004,2h 50m,Martin Scorsese,1511,4,OWA0053,GG010
The Aviator,7.5,379000.0,77.0,PG-13,2004,2h 50m,Martin Scorsese,1511,4,OWA0020,GG010
After Hours,7.6,78000.0,90.0,R,1985,1h 37m,Martin Scorsese,1678,4,N/A,N/A
May December,7.0,21000.0,85.0,R,2023,1h 57m,Todd Haynes,5,5,N/A,N/A
Carol,7.2,140000.0,94.0,R,2015,1h 58m,Todd Haynes,541,5,N/A,N/A
Dark Waters,7.6,98000.0,73.0,PG-13,2019,2h 6m,Todd Haynes,873,5,N/A,N/A
The Hunger Games: The Ballad of Songbirds & Snakes,7.1,56000.0,54.0,PG-13,2023,2h 37m,Francis Lawrence,6,6,N/A,N/A
The Hunger Games: Catching Fire,7.5,707000.0,76.0,PG-13,2013,2h 26m,Francis Lawrence,97,6,N/A,N/A
The Hunger Games: Mockingjay - Part 2,6.5,362000.0,65.0,PG-13,2015,2h 17m,Francis Lawrence,213,6,N/A,N/A
The Hunger Games: Mockingjay - Part 1,6.6,491000.0,64.0,PG-13,2014,2h 3m,Francis Lawrence,251,6,N/A,N/A
Red Sparrow,6.6,198000.0,53.0,R,2018,2h 20m,Francis Lawrence,840,6,N/A,N/A
I Am Legend,7.2,800000.0,65.0,PG-13,2007,1h 41m,Francis Lawrence,993,6,N/A,N/A
Constantine,7.0,368000.0,50.0,R,2005,2h 1m,Francis Lawrence,1054,6,N/A,N/A
Napoleon,6.6,66000.0,64.0,R,2023,2h 38m,Ridley Scott,7,7,N/A,N/A
Gladiator,8.5,1600000.0,67.0,R,2000,2h 35m,Ridley Scott,96,7,OWA0080,N/A
Gladiator,8.5,1600000.0,67.0,R,2000,2h 35m,Ridley Scott,96,7,OWA0053,N/A
Gladiator,8.5,1600000.0,67.0,R,2000,2h 35m,Ridley Scott,96,7,OWA0060,N/A
Gladiator,8.5,1600000.0,67.0,R,2000,2h 35m,Ridley Scott,96,7,OWA0057,N/A
Gladiator,8.5,1600000.0,67.0,R,2000,2h 35m,Ridley Scott,96,7,OWA0084,N/A
Kingdom of Heaven,7.2,308000.0,63.0,R,2005,2h 24m,Ridley Scott,157,7,N/A,N/A
Prometheus,7.0,635000.0,64.0,R,2012,2h 4m,Ridley Scott,159,7,N/A,N/A
Alien,8.5,931000.0,89.0,R,1979,1h 57m,Ridley Scott,220,7,OWA0084,N/A
Blade Runner,8.1,809000.0,84.0,R,1982,1h 57m,Ridley Scott,229,7,N/A,N/A
Alien: Covenant,6.4,298000.0,65.0,R,2017,2h 2m,Ridley Scott,367,7,N/A,N/A
The Martian,8.0,905000.0,80.0,PG-13,2015,2h 24m,Ridley Scott,420,7,N/A,GG006
The Last Duel,7.4,176000.0,67.0,R,2021,2h 32m,Ridley Scott,459,7,N/A,N/A
Black Hawk Down,7.7,417000.0,74.0,R,2001,2h 24m,Ridley Scott,639,7,OWA0020,N/A
Black Hawk Down,7.7,417000.0,74.0,R,2001,2h 24m,Ridley Scott,639,7,OWA0057,N/A
American Gangster,7.8,446000.0,76.0,R,2007,2h 37m,Ridley Scott,791,7,N/A,N/A
Robin Hood,6.6,280000.0,53.0,PG-13,2010,2h 20m,Ridley Scott,896,7,N/A,N/A
Hannibal,6.8,289000.0,57.0,R,2001,2h 11m,Ridley Scott,976,7,N/A,N/A
House of Gucci,6.6,154000.0,59.0,R,2021,2h 38m,Ridley Scott,1007,7,N/A,N/A
The Counselor,5.4,105000.0,48.0,R,2013,1h 57m,Ridley Scott,1301,7,N/A,N/A
Exodus: Gods and Kings,6.0,176000.0,52.0,PG-13,2014,2h 30m,Ridley Scott,1488,7,N/A,N/A
Thelma & Louise,7.6,168000.0,89.0,R,1991,2h 10m,Ridley Scott,1661,7,OWA0088,N/A
Oppenheimer,8.4,553000.0,89.0,R,2023,3h,Christopher Nolan,8,8,OWA0080,GG010
Oppenheimer,8.4,553000.0,89.0,R,2023,3h,Christopher Nolan,8,8,OWA0025,GG010
Oppenheimer,8.4,553000.0,89.0,R,2023,3h,Christopher Nolan,8,8,OWA0004,GG010
Oppenheimer,8.4,553000.0,89.0,R,2023,3h,Christopher Nolan,8,8,OWA0012,GG010
Oppenheimer,8.4,553000.0,89.0,R,2023,3h,Christopher Nolan,8,8,OWA0020,GG010
Oppenheimer,8.4,553000.0,89.0,R,2023,3h,Christopher Nolan,8,8,OWA0030,GG010
Oppenheimer,8.4,553000.0,89.0,R,2023,3h,Christopher Nolan,8,8,OWA0060,GG010
Interstellar,8.7,2000000.0,74.0,PG-13,2014,2h 49m,Christopher Nolan,67,8,OWA0084,N/A
The Dark Knight,9.0,2800000.0,84.0,PG-13,2008,2h 32m,Christopher Nolan,99,8,OWA0025,N/A
The Dark Knight,9.0,2800000.0,84.0,PG-13,2008,2h 32m,Christopher Nolan,99,8,OWA0097,N/A
Inception,8.8,2500000.0,74.0,PG-13,2010,2h 28m,Christopher Nolan,125,8,OWA0004,N/A
Inception,8.8,2500000.0,74.0,PG-13,2010,2h 28m,Christopher Nolan,125,8,OWA0097,N/A
Inception,8.8,2500000.0,74.0,PG-13,2010,2h 28m,Christopher Nolan,125,8,OWA0100,N/A
Inception,8.8,2500000.0,74.0,PG-13,2010,2h 28m,Christopher Nolan,125,8,OWA0084,N/A
The Prestige,8.5,1400000.0,66.0,PG-13,2006,2h 10m,Christopher Nolan,245,8,N/A,N/A
The Dark Knight Rises,8.4,1800000.0,78.0,PG-13,2012,2h 44m,Christopher Nolan,261,8,N/A,N/A
Tenet,7.3,572000.0,69.0,PG-13,2020,2h 30m,Christopher Nolan,275,8,OWA0084,N/A
Memento,8.4,1300000.0,83.0,R,2000,1h 53m,Christopher Nolan,356,8,N/A,N/A
Batman Begins,8.2,1500000.0,70.0,PG-13,2005,2h 20m,Christopher Nolan,447,8,N/A,N/A
Dunkirk,7.8,721000.0,94.0,PG-13,2017,1h 46m,Christopher Nolan,465,8,OWA0020,N/A
Dunkirk,7.8,721000.0,94.0,PG-13,2017,1h 46m,Christopher Nolan,465,8,OWA0097,N/A
Dunkirk,7.8,721000.0,94.0,PG-13,2017,1h 46m,Christopher Nolan,465,8,OWA0100,N/A
Insomnia,7.2,313000.0,78.0,R,2002,1h 58m,Christopher Nolan,1506,8,N/A,N/A
Love Actually,7.6,517000.0,55.0,R,2003,2h 15m,Richard Curtis,9,9,N/A,N/A
About Time,7.8,377000.0,55.0,R,2013,2h 3m,Richard Curtis,436,9,N/A,N/A
Candy Cane Lane,5.6,13000.0,47.0,PG,2023,1h 57m,Reginald Hudlin,10,10,N/A,N/A
Saltburn,7.5,13000.0,61.0,R,2023,2h 11m,Emerald Fennell,11,11,N/A,N/A
Promising Young Woman,7.5,201000.0,72.0,R,2020,1h 53m,Emerald Fennell,193,11,OWA0036,N/A
Barbie,7.0,417000.0,80.0,PG-13,2023,1h 54m,Greta Gerwig,12,12,OWA0078,GG001
Little Women,7.8,234000.0,91.0,PG,2019,2h 15m,Greta Gerwig,180,12,OWA0010,N/A
Little Women,7.8,234000.0,91.0,PG,2019,2h 15m,Greta Gerwig,180,12,OWA0035,N/A
Little Women,7.8,234000.0,91.0,PG,2019,2h 15m,Greta Gerwig,180,12,OWA0053,N/A
Lady Bird,7.4,318000.0,93.0,R,2017,1h 34m,Greta Gerwig,406,12,N/A,N/A
National Lampoon's Christmas Vacation,7.5,213000.0,49.0,PG-13,1989,1h 37m,Jeremiah S. Chechik,13,13,N/A,N/A
Rebel Moon - Part One: A Child of Fire,6.3,1900.0,32.0,PG-13,2023,2h 13m,Zack Snyder,14,14,N/A,N/A
Watchmen,7.6,574000.0,56.0,R,2009,2h 42m,Zack Snyder,217,14,N/A,N/A
Man of Steel,7.1,802000.0,55.0,PG-13,2013,2h 23m,Zack Snyder,255,14,N/A,N/A
300,7.6,853000.0,52.0,R,2006,1h 57m,Zack Snyder,269,14,N/A,N/A
Batman v Superman: Dawn of Justice,6.5,744000.0,44.0,PG-13,2016,2h 31m,Zack Snyder,481,14,N/A,N/A
Zack Snyder's Justice League,7.9,429000.0,54.0,R,2021,4h 2m,Zack Snyder,539,14,N/A,N/A
Army of the Dead,5.8,183000.0,57.0,R,2021,2h 28m,Zack Snyder,610,14,N/A,N/A
Sucker Punch,6.0,250000.0,33.0,PG-13,2011,1h 50m,Zack Snyder,856,14,N/A,N/A
Justice League,6.1,473000.0,45.0,PG-13,2017,2h,Zack Snyder,953,14,N/A,N/A
Dawn of the Dead,7.3,268000.0,59.0,R,2004,1h 41m,Zack Snyder,1092,14,N/A,N/A
The Family Plan,6.3,9200.0,40.0,PG-13,2023,1h 58m,Simon Cellan Jones,15,15,N/A,N/A
The Holdovers,8.0,24000.0,82.0,R,2023,2h 13m,Alexander Payne,16,16,OWA0026,N/A
Sideways,7.5,200000.0,94.0,R,2004,2h 7m,Alexander Payne,963,16,OWA0099,GG006
Downsizing,5.8,121000.0,64.0,R,2017,2h 15m,Alexander Payne,1361,16,N/A,N/A
Family Switch,5.6,16000.0,37.0,PG,2023,1h 46m,McG,17,17,N/A,N/A
Terminator Salvation,6.5,374000.0,49.0,PG-13,2009,1h 55m,McG,1333,17,N/A,N/A
Charlie's Angels,5.6,194000.0,52.0,PG-13,2000,1h 38m,McG,1681,17,N/A,N/A
Indiana Jones and the Dial of Destiny,6.6,159000.0,58.0,PG-13,2023,2h 34m,James Mangold,18,18,N/A,N/A
Ford v Ferrari,8.1,448000.0,81.0,PG-13,2019,2h 32m,James Mangold,324,18,OWA0020,N/A
Ford v Ferrari,8.1,448000.0,81.0,PG-13,2019,2h 32m,James Mangold,324,18,OWA0097,N/A
Logan,8.1,813000.0,77.0,R,2017,2h 17m,James Mangold,660,18,N/A,N/A
"Girl, Interrupted",7.3,206000.0,51.0,R,1999,2h 7m,James Mangold,900,18,OWA0026,N/A
Cop Land,7.0,104000.0,64.0,R,1997,1h 45m,James Mangold,1121,18,N/A,N/A
The Wolverine,6.7,486000.0,61.0,PG-13,2013,2h 6m,James Mangold,1134,18,N/A,N/A
Identity,7.3,263000.0,64.0,R,2003,1h 30m,James Mangold,1410,18,N/A,N/A
Walk the Line,7.8,262000.0,72.0,PG-13,2005,2h 16m,James Mangold,1655,18,OWA0081,N/A
Knight and Day,6.3,208000.0,46.0,PG-13,2010,1h 49m,James Mangold,1672,18,N/A,N/A
Elf,7.1,300000.0,66.0,PG,2003,1h 37m,Jon Favreau,19,19,N/A,N/A
Iron Man,7.9,1100000.0,79.0,PG-13,2008,2h 6m,Jon Favreau,532,19,N/A,N/A
Chef,7.3,228000.0,68.0,R,2014,1h 54m,Jon Favreau,1136,19,N/A,N/A
Iron Man 2,6.9,856000.0,57.0,PG-13,2010,2h 4m,Jon Favreau,1494,19,N/A,N/A
The Jungle Book,7.4,289000.0,77.0,PG,2016,1h 46m,Jon Favreau,1716,19,OWA0084,N/A
How the Grinch Stole Christmas,6.3,280000.0,46.0,PG,2000,1h 44m,Ron Howard,20,20,N/A,N/A
A Beautiful Mind,8.2,972000.0,72.0,PG-13,2001,2h 15m,Ron Howard,390,20,OWA0026,GG010
A Beautiful Mind,8.2,972000.0,72.0,PG-13,2001,2h 15m,Ron Howard,390,20,OWA0012,GG010
A Beautiful Mind,8.2,972000.0,72.0,PG-13,2001,2h 15m,Ron Howard,390,20,OWA0060,GG010
A Beautiful Mind,8.2,972000.0,72.0,PG-13,2001,2h 15m,Ron Howard,390,20,OWA0095,GG010
Solo: A Star Wars Story,6.9,372000.0,62.0,PG-13,2018,2h 15m,Ron Howard,985,20,N/A,N/A
Rush,8.1,505000.0,74.0,R,2013,2h 3m,Ron Howard,1073,20,N/A,N/A
Apollo 13,7.7,310000.0,78.0,PG,1995,2h 20m,Ron Howard,1180,20,OWA0020,N/A
Apollo 13,7.7,310000.0,78.0,PG,1995,2h 20m,Ron Howard,1180,20,OWA0057,N/A
The Da Vinci Code,6.6,453000.0,46.0,PG-13,2006,2h 29m,Ron Howard,1280,20,N/A,N/A
Parenthood,7.1,54000.0,82.0,PG-13,1989,2h 4m,Ron Howard,1338,20,N/A,N/A
Backdraft,6.7,86000.0,39.0,R,1991,2h 17m,Ron Howard,1440,20,N/A,N/A
Inferno,6.2,187000.0,42.0,PG-13,2016,2h 1m,Ron Howard,1509,20,N/A,N/A
In the Heart of the Sea,6.9,147000.0,47.0,PG-13,2015,2h 2m,Ron Howard,1532,20,N/A,N/A
Willow,7.2,129000.0,47.0,PG,1988,2h 6m,Ron Howard,1549,20,N/A,N/A
Maestro,7.3,3600.0,78.0,R,2023,2h 9m,Bradley Cooper,21,21,N/A,N/A
A Star Is Born,7.6,410000.0,88.0,R,2018,2h 16m,Bradley Cooper,678,21,OWA0011,N/A
A Star Is Born,7.6,410000.0,88.0,R,2018,2h 16m,Bradley Cooper,678,21,OWA0078,N/A
A Star Is Born,7.6,410000.0,88.0,R,2018,2h 16m,Bradley Cooper,678,21,OWA0078,N/A
Mr. Monk's Last Case: A Monk Movie,7.0,3500.0,65.0,TV-PG,2023,1h 37m,Randy Zisk,22,22,N/A,N/A
The Creator,6.9,92000.0,63.0,PG-13,2023,2h 13m,Gareth Edwards,24,26,N/A,N/A
Godzilla,6.4,432000.0,62.0,PG-13,2014,2h 3m,Gareth Edwards,128,26,N/A,N/A
Rogue One: A Star Wars Story,7.8,675000.0,65.0,PG-13,2016,2h 13m,Gareth Edwards,672,26,N/A,N/A
Monsters,6.4,96000.0,63.0,R,2010,1h 34m,Gareth Edwards,1729,26,N/A,N/A
Chicken Run: Dawn of the Nugget,6.5,6300.0,63.0,PG,2023,1h 41m,Sam Fell,26,29,N/A,N/A
Die Hard,8.2,924000.0,72.0,R,1988,2h 12m,John McTiernan,27,30,N/A,N/A
Die Hard with a Vengeance,7.6,403000.0,58.0,R,1995,2h 8m,John McTiernan,517,30,N/A,N/A
Predator,7.8,446000.0,47.0,R,1987,1h 47m,John McTiernan,649,30,N/A,N/A
The Hunt for Red October,7.5,211000.0,58.0,PG,1990,2h 15m,John McTiernan,813,30,OWA0093,N/A
The Killer,6.8,140000.0,73.0,R,2023,1h 58m,David Fincher,28,31,N/A,N/A
Fight Club,8.8,2300000.0,67.0,R,1999,2h 19m,David Fincher,111,31,N/A,N/A
Se7en,8.6,1800000.0,65.0,R,1995,2h 7m,David Fincher,162,31,N/A,N/A
Gone Girl,8.1,1000000.0,79.0,R,2014,2h 29m,David Fincher,222,31,N/A,N/A
The Social Network,7.8,745000.0,95.0,PG-13,2010,2h,David Fincher,468,31,OWA0020,GG010
The Social Network,7.8,745000.0,95.0,PG-13,2010,2h,David Fincher,468,31,OWA0030,GG010
The Social Network,7.8,745000.0,95.0,PG-13,2010,2h,David Fincher,468,31,OWA0099,GG010
The Girl with the Dragon Tattoo,7.8,487000.0,71.0,R,2011,2h 38m,David Fincher,488,31,OWA0020,N/A
Zodiac,7.7,584000.0,79.0,R,2007,2h 37m,David Fincher,518,31,N/A,N/A
The Curious Case of Benjamin Button,7.8,685000.0,70.0,PG-13,2008,2h 46m,David Fincher,689,31,OWA0003,N/A
The Curious Case of Benjamin Button,7.8,685000.0,70.0,PG-13,2008,2h 46m,David Fincher,689,31,OWA0092,N/A
The Curious Case of Benjamin Button,7.8,685000.0,70.0,PG-13,2008,2h 46m,David Fincher,689,31,OWA0084,N/A
The Game,7.7,421000.0,63.0,R,1997,2h 9m,David Fincher,927,31,N/A,N/A
AlienÂ³,6.4,315000.0,59.0,R,1992,1h 54m,David Fincher,1318,31,N/A,N/A
Violent Night,6.7,88000.0,55.0,R,2022,1h 52m,Tommy Wirkola,30,35,N/A,N/A
Home Alone 2: Lost in New York,6.9,389000.0,46.0,PG,1992,2h,Chris Columbus,31,36,N/A,N/A
Harry Potter and the Sorcerer's Stone,7.6,838000.0,65.0,PG,2001,2h 32m,Chris Columbus,65,36,N/A,N/A
Harry Potter and the Chamber of Secrets,7.4,677000.0,63.0,PG,2002,2h 41m,Chris Columbus,258,36,N/A,N/A
The Christmas Chronicles: Part Two,6.0,35000.0,51.0,PG,2020,1h 52m,Chris Columbus,347,36,N/A,N/A
Percy Jackson & the Olympians: The Lightning Thief,5.9,198000.0,47.0,PG,2010,1h 58m,Chris Columbus,435,36,N/A,N/A
Mrs. Doubtfire,7.1,285000.0,54.0,PG-13,1993,2h 5m,Chris Columbus,945,36,OWA0092,GG006
Adventures in Babysitting,6.9,48000.0,45.0,PG-13,1987,1h 42m,Chris Columbus,1386,36,N/A,N/A
Pixels,5.6,156000.0,27.0,PG-13,2015,1h 45m,Chris Columbus,1558,36,N/A,N/A
A Haunting in Venice,6.5,84000.0,63.0,PG-13,2023,1h 43m,Kenneth Branagh,32,37,N/A,N/A
Death on the Nile,6.3,180000.0,52.0,PG-13,2022,2h 7m,Kenneth Branagh,254,37,OWA0053,N/A
Murder on the Orient Express,6.5,285000.0,52.0,PG-13,2017,1h 54m,Kenneth Branagh,319,37,OWA0026,N/A
Belfast,7.2,87000.0,75.0,PG-13,2021,1h 38m,Kenneth Branagh,519,37,OWA0036,N/A
Cinderella,6.9,188000.0,67.0,PG,2015,1h 45m,Kenneth Branagh,816,37,N/A,N/A
Thor,7.0,888000.0,57.0,PG-13,2011,1h 55m,Kenneth Branagh,930,37,N/A,N/A
The Marvels,5.9,64000.0,50.0,PG-13,2023,1h 45m,Nia DaCosta,33,38,N/A,N/A
The Polar Express,6.6,233000.0,61.0,G,2004,1h 40m,Robert Zemeckis,35,41,N/A,N/A
A Christmas Carol,6.8,127000.0,55.0,PG,2009,1h 36m,Robert Zemeckis,71,41,OWA0072,N/A
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0080,GG010
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0012,GG010
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0020,GG010
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0060,GG010
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0084,GG010
Forrest Gump,8.8,2200000.0,82.0,PG-13,1994,2h 22m,Robert Zemeckis,201,41,OWA0095,GG010
Back to the Future,8.5,1300000.0,87.0,PG,1985,1h 56m,Robert Zemeckis,231,41,OWA0093,N/A
Cast Away,7.8,627000.0,73.0,PG-13,2000,2h 23m,Robert Zemeckis,1118,41,N/A,N/A
Flight,7.3,371000.0,76.0,R,2012,2h 18m,Robert Zemeckis,1287,41,N/A,N/A
Contact,7.5,289000.0,62.0,PG,1997,2h 30m,Robert Zemeckis,1531,41,N/A,N/A
Who Framed Roger Rabbit,7.7,213000.0,83.0,PG,1988,1h 44m,Robert Zemeckis,1543,41,OWA0020,N/A
Who Framed Roger Rabbit,7.7,213000.0,83.0,PG,1988,1h 44m,Robert Zemeckis,1543,41,OWA0093,N/A
Who Framed Roger Rabbit,7.7,213000.0,83.0,PG,1988,1h 44m,Robert Zemeckis,1543,41,OWA0084,N/A
Back to the Future Part II,7.8,563000.0,57.0,PG,1989,1h 48m,Robert Zemeckis,1572,41,N/A,N/A
The Witches,5.4,45000.0,47.0,PG,2020,1h 46m,Robert Zemeckis,1699,41,N/A,N/A
Death Becomes Her,6.6,129000.0,56.0,PG-13,1992,1h 44m,Robert Zemeckis,1714,41,OWA0084,N/A
Pinocchio,5.1,41000.0,38.0,PG,2022,1h 45m,Robert Zemeckis,1715,41,OWA0030,N/A
Pinocchio,5.1,41000.0,38.0,PG,2022,1h 45m,Robert Zemeckis,1715,41,OWA0022,N/A
It's a Wonderful Life,8.6,486000.0,89.0,PG,1946,2h 10m,Frank Capra,36,42,N/A,N/A
Five Nights at Freddy's,5.5,78000.0,33.0,PG-13,2023,1h 49m,Emma Tammi,37,43,N/A,N/A
