Oscar Award ID,Award
OWA0001,ACTOR
OWA0002,ACTRESS
OWA0003,ART DIRECTION
OWA0004,CINEMATOGRAPHY
OWA0005,DIRECTING (Comedy Picture)
OWA0006,DIRECTING (Dramatic Picture)
OWA0007,ENGINEERING EFFECTS
OWA0008,OUTSTANDING PICTURE
OWA0009,UNIQUE AND ARTISTIC PICTURE
OWA0010,WRITING (Adaptation)
OWA0011,WRITING (Original Story)
OWA0012,DIRECTING
OWA0013,WRITING
OWA0014,OUTSTANDING PRODUCTION
OWA0015,SOUND RECORDING
OWA0016,SHORT SUBJECT (Cartoon)
OWA0017,SHORT SUBJECT (Comedy)
OWA0018,SHORT SUBJECT (Novelty)
OWA0019,ASSISTANT DIRECTOR
OWA0020,FILM EDITING
OWA0021,MUSIC (Scoring)
OWA0022,MUSIC (Song)
OWA0023,DANCE DIRECTION
OWA0024,WRITING (Screenplay)
OWA0025,ACTOR IN A SUPPORTING ROLE
OWA0026,ACTRESS IN A SUPPORTING ROLE
OWA0027,SHORT SUBJECT (Color)
OWA0028,SHORT SUBJECT (One-reel)
OWA0029,SHORT SUBJECT (Two-reel)
OWA0030,MUSIC (Original Score)
OWA0031,CINEMATOGRAPHY (Black-and-White)
OWA0032,CINEMATOGRAPHY (Color)
OWA0033,SPECIAL EFFECTS
OWA0034,ART DIRECTION (Black-and-White)
OWA0035,ART DIRECTION (Color)
OWA0036,WRITING (Original Screenplay)
OWA0037,DOCUMENTARY (Short Subject)
OWA0038,MUSIC (Music Score of a Dramatic Picture)
OWA0039,MUSIC (Scoring of a Musical Picture)
OWA0040,OUTSTANDING MOTION PICTURE
OWA0041,DOCUMENTARY
OWA0042,MUSIC (Music Score of a Dramatic or Comedy Picture)
OWA0043,WRITING (Original Motion Picture Story)
OWA0044,DOCUMENTARY (Feature)
OWA0045,BEST MOTION PICTURE
OWA0046,WRITING (Motion Picture Story)
OWA0047,COSTUME DESIGN (Black-and-White)
OWA0048,COSTUME DESIGN (Color)
OWA0049,WRITING (Story and Screenplay)
OWA0050,FOREIGN LANGUAGE FILM
OWA0051,WRITING (Screenplay--Adapted)
OWA0052,WRITING (Screenplay--Original)
OWA0053,COSTUME DESIGN
OWA0054,SHORT SUBJECT (Live Action)
OWA0055,WRITING (Screenplay--based on material from another medium)
OWA0056,WRITING (Story and Screenplay--written directly for the screen)
OWA0057,SOUND
OWA0058,MUSIC (Music Score--substantially original)
OWA0059,MUSIC (Scoring of Music--adaptation or treatment)
OWA0060,BEST PICTURE
OWA0061,SOUND EFFECTS
OWA0062,SPECIAL VISUAL EFFECTS
OWA0063,MUSIC (Original Music Score)
OWA0064,MUSIC (Original Score--for a motion picture [not a musical])
OWA0065,MUSIC (Score of a Musical Picture--original or adaptation)
OWA0066,MUSIC (Song--Original for the Picture)
OWA0067,WRITING (Story and Screenplay--based on material not previously published or produced)
OWA0068,MUSIC (Original Song Score)
OWA0069,WRITING (Story and Screenplay--based on factual material or material not previously published or produced)
OWA0070,MUSIC (Original Dramatic Score)
OWA0071,MUSIC (Scoring: Adaptation and Original Song Score)
OWA0072,SHORT SUBJECT (Animated)
OWA0073,SPECIAL ACHIEVEMENT AWARD (Visual Effects)
OWA0074,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation)
OWA0075,SHORT FILM (Animated)
OWA0076,SHORT FILM (Live Action)
OWA0077,WRITING (Screenplay Adapted from Other Material)
OWA0078,MUSIC (Original Song)
OWA0079,SPECIAL ACHIEVEMENT AWARD (Sound Effects)
OWA0080,ACTOR IN A LEADING ROLE
OWA0081,ACTRESS IN A LEADING ROLE
OWA0082,MUSIC (Original Song Score and Its Adaptation or Adaptation Score)
OWA0083,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)
OWA0084,VISUAL EFFECTS
OWA0085,SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing)
OWA0086,MUSIC (Adaptation Score)
OWA0087,WRITING (Screenplay Based on Material from Another Medium)
OWA0088,WRITING (Screenplay Written Directly for the Screen)
OWA0089,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score)
OWA0090,SPECIAL ACHIEVEMENT AWARD (Sound Editing)
OWA0091,SHORT FILM (Dramatic Live Action)
OWA0092,MAKEUP
OWA0093,SOUND EFFECTS EDITING
OWA0094,MUSIC (Original Song Score or Adaptation Score)
OWA0095,WRITING (Screenplay Based on Material Previously Produced or Published)
OWA0096,MUSIC (Original Musical or Comedy Score)
OWA0097,SOUND EDITING
OWA0098,ANIMATED FEATURE FILM
OWA0099,WRITING (Adapted Screenplay)
OWA0100,SOUND MIXING
OWA0101,MAKEUP AND HAIRSTYLING
OWA0102,PRODUCTION DESIGN
OWA0103,INTERNATIONAL FEATURE FILM
OWA0104,DOCUMENTARY FEATURE FILM
OWA0105,DOCUMENTARY SHORT FILM
OWA0106,AWARD OF COMMENDATION
