Movie Name,Year,Status,Golden Globe Award,GG Award ID
Barbie,2024,Winner,Cinematic and Box Office Achievement,GG001
"Justine Triet, Arthur Harari",2024,Winner,Best Screenplay - Motion Picture,GG002
Christopher Nolan,2024,Winner,Best Director - Motion Picture,GG003
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language,GG004
Emma Stone,2024,Winner,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,GG005
Poor Things,2024,Winner,Best Motion Picture - Musical or Comedy,GG006
Lily Gladstone,2024,Winner,Best Performance by a Female Actor in a Motion Picture – Drama,GG007
What Was I Made For?,2024,Winner,Best Original Song - Motion Picture,GG008
Ludwig Göransson,2024,Winner,Best Original Score - Motion Picture,GG009
Oppenheimer,2024,Winner,Best Motion Picture - Drama,GG010
"Fabelmans, The",2023,Winner,Best Motion Picture - Drama,GG010
Cate Blanchett,2023,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Austin Butler,2023,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
"Banshees of Inisherin, The",2023,Winner,Best Motion Picture - Musical or Comedy,GG006
Michelle Yeoh,2023,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
"Argentina, 1985",2023,Winner,Best Motion Picture – Non-English Language,GG004
Angela Bassett,2023,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Ke Huy Quan,2023,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Steven Spielberg,2023,Winner,Best Director - Motion Picture,GG003
Martin McDonagh,2023,Winner,Best Screenplay - Motion Picture,GG002
Justin Hurwitz,2023,Winner,Best Original Score - Motion Picture,GG009
"Power of the Dog, The",2022,Winner,Best Motion Picture - Drama,GG010
Nicole Kidman,2022,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Will Smith,2022,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
West Side Story (2021),2022,Winner,Best Motion Picture - Musical or Comedy,GG006
Drive My Car,2022,Winner,Best Motion Picture – Non-English Language,GG004
Ariana DeBose,2022,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Kodi Smit-McPhee,2022,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Jane Campion,2022,Winner,Best Director - Motion Picture,GG003
Kenneth Branagh,2022,Winner,Best Screenplay - Motion Picture,GG002
Hans Zimmer,2022,Winner,Best Original Score - Motion Picture,GG009
No Time To Die,2022,Winner,Best Original Song - Motion Picture,GG008
Nomadland,2021,Winner,Best Motion Picture - Drama,GG010
Andra Day,2021,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Chadwick Boseman,2021,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Borat Subsequent Moviefilm,2021,Winner,Best Motion Picture - Musical or Comedy,GG006
Rosamund Pike,2021,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Sacha Baron Cohen,2021,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Soul,2021,Winner,Best Motion Picture - Animated,GG017
Minari,2021,Winner,Best Motion Picture – Non-English Language,GG004
Jodie Foster,2021,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Daniel Kaluuya,2021,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Chloé Zhao,2021,Winner,Best Director - Motion Picture,GG003
Aaron Sorkin,2021,Winner,Best Screenplay - Motion Picture,GG002
"Trent Reznor, Atticus Ross, Jon Batiste",2021,Winner,Best Original Score - Motion Picture,GG009
1917,2020,Winner,Best Motion Picture - Drama,GG010
Renée Zellweger,2020,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Joaquin Phoenix,2020,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Once Upon a Time...in Hollywood,2020,Winner,Best Motion Picture - Musical or Comedy,GG006
Awkwafina .,2020,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Taron Egerton,2020,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Missing Link,2020,Winner,Best Motion Picture - Animated,GG017
Parasite,2020,Winner,Best Motion Picture – Non-English Language,GG004
Laura Dern,2020,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Brad Pitt,2020,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Sam Mendes,2020,Winner,Best Director - Motion Picture,GG003
Quentin Tarantino,2020,Winner,Best Screenplay - Motion Picture,GG002
Hildur Guðnadóttir,2020,Winner,Best Original Score - Motion Picture,GG009
I'm Gonna Love Me Again,2020,Winner,Best Original Song - Motion Picture,GG008
Bohemian Rhapsody,2019,Winner,Best Motion Picture - Drama,GG010
Green Book,2019,Winner,Best Motion Picture - Musical or Comedy,GG006
Spider-Man: Into the Spider-Verse,2019,Winner,Best Motion Picture - Animated,GG017
Roma,2019,Winner,Best Motion Picture – Non-English Language,GG004
Glenn Close,2019,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Olivia Colman,2019,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
Christian Bale,2019,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Regina King,2019,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Mahershala Ali,2019,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Alfonso Cuarón,2019,Winner,Best Director - Motion Picture,GG003
"Nick Vallelonga, Brian Currie, Peter Farrelly",2019,Winner,Best Screenplay - Motion Picture,GG002
"Three Billboards Outside Ebbing, Missouri",2018,Winner,Best Motion Picture - Drama,GG010
Frances McDormand,2018,Winner,Best Performance by an Actress in a Motion Picture - Drama,GG011
Gary Oldman,2018,Winner,Best Performance by an Actor in a Motion Picture - Drama,GG012
Saoirse Ronan,2018,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,GG013
James Franco,2018,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,GG016
Allison Janney,2018,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,GG014
Sam Rockwell,2018,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,GG015
Guillermo Del Toro,2018,Winner,Best Director - Motion Picture,GG003
"""This Is Me""",2018,Winner,Best Original Song - Motion Picture,GG008
Damien Chazelle,2017,Winner,Best Director - Motion Picture,GG003
Moonlight,2017,Winner,Best Motion Picture - Drama,GG010
Elle,2017,Winner,Best Motion Picture – Non-English Language,GG004
La La Land,2017,Winner,Best Motion Picture - Musical or Comedy,GG006
"""City of Stars""",2017,Winner,Best Original Song - Motion Picture,GG008
