Oscar_Winner_ID,Winner,Award,Oscar_Award_ID,Movie_Name,Year_Ceremony,Year_Film
1,Emil Jannings,ACTOR,OWA0001,The Last Command,1928,1927
2,Janet Gaynor,ACTRESS,OWA0002,7th Heaven,1928,1927
3,William Cameron Menzies,ART DIRECTION,OWA0003,The Dove;,1928,1927
4,Charles Rosher,CINEMATOGRAPHY,OWA0004,Sunrise,1928,1927
5,Karl Struss,CINEMATOGRAPHY,OWA0004,Sunrise,1928,1927
6,Lewis Milestone,DIRECTING (Comedy Picture),OWA0005,Two Arabian Knights,1928,1927
7,Frank Borzage,DIRECTING (Dramatic Picture),OWA0006,7th Heaven,1928,1927
8,Roy Pomeroy,ENGINEERING EFFECTS,OWA0007,Wings,1928,1927
9,Paramount Famous Lasky,OUTSTANDING PICTURE,OWA0008,Wings,1928,1927
10,Fox,UNIQUE AND ARTISTIC PICTURE,OWA0009,Sunrise,1928,1927
11,Benjamin Glazer,WRITING (Adaptation),OWA0010,7th Heaven,1928,1927
12,Ben Hecht,WRITING (Original Story),OWA0011,Underworld,1928,1927
13,Warner Baxter,ACTOR,OWA0001,In Old Arizona,1929,1928
14,Mary Pickford,ACTRESS,OWA0002,Coquette,1929,1928
15,Cedric Gibbons,ART DIRECTION,OWA0003,The Bridge of San Luis Rey,1929,1928
16,Clyde De Vinna,CINEMATOGRAPHY,OWA0004,White Shadows in the South Seas,1929,1928
17,Frank Lloyd,DIRECTING,OWA0012,The Divine Lady,1929,1928
18,Metro-Goldwyn-Mayer,OUTSTANDING PICTURE,OWA0008,The Broadway Melody,1929,1928
19,Hans Kraly,WRITING,OWA0013,The Patriot,1929,1928
20,George Arliss,ACTOR,OWA0001,Disraeli,1930,1929
21,Norma Shearer,ACTRESS,OWA0002,The Divorcee,1930,1929
22,Herman Rosse,ART DIRECTION,OWA0003,King of Jazz,1930,1929
23,"Joseph T. Rucker, Willard Van Der Veer",CINEMATOGRAPHY,OWA0004,With Byrd at the South Pole,1930,1929
24,Lewis Milestone,DIRECTING,OWA0012,All Quiet on the Western Front,1930,1929
25,Universal,OUTSTANDING PRODUCTION,OWA0014,All Quiet on the Western Front,1930,1929
26,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",SOUND RECORDING,OWA0015,The Big House,1930,1929
27,Frances Marion,WRITING,OWA0013,The Big House,1930,1929
28,Lionel Barrymore,ACTOR,OWA0001,A Free Soul,1931,1930
29,Marie Dressler,ACTRESS,OWA0002,Min and Bill,1931,1930
30,Max Rée,ART DIRECTION,OWA0003,Cimarron,1931,1930
31,Floyd Crosby,CINEMATOGRAPHY,OWA0004,Tabu,1931,1930
32,Norman Taurog,DIRECTING,OWA0012,Skippy,1931,1930
33,RKO Radio,OUTSTANDING PRODUCTION,OWA0014,Cimarron,1931,1930
34,Howard Estabrook,WRITING (Adaptation),OWA0010,Cimarron,1931,1930
35,John Monk Saunders,WRITING (Original Story),OWA0011,The Dawn Patrol,1931,1930
36,Wallace Beery,ACTOR,OWA0001,The Champ,1932,1931
37,Fredric March,ACTOR,OWA0001,Dr. Jekyll and Mr. Hyde,1932,1931
38,Helen Hayes,ACTRESS,OWA0002,The Sin of Madelon Claudet,1932,1931
39,Gordon Wiles,ART DIRECTION,OWA0003,Transatlantic,1932,1931
40,Lee Garmes,CINEMATOGRAPHY,OWA0004,Shanghai Express,1932,1931
41,Frank Borzage,DIRECTING,OWA0012,Bad Girl,1932,1931
42,Metro-Goldwyn-Mayer,OUTSTANDING PRODUCTION,OWA0014,Grand Hotel,1932,1931
43,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,Flowers and Trees,1932,1931
44,"Hal Roach, Producer",SHORT SUBJECT (Comedy),OWA0017,The Music Box,1932,1931
45,"Mack Sennett, Producer",SHORT SUBJECT (Novelty),OWA0018,Wrestling Swordfish,1932,1931
46,Edwin Burke,WRITING (Adaptation),OWA0010,Bad Girl,1932,1931
47,Frances Marion,WRITING (Original Story),OWA0011,The Champ,1932,1931
48,Charles Laughton,ACTOR,OWA0001,The Private Life of Henry VIII,1933,1932
49,Katharine Hepburn,ACTRESS,OWA0002,Morning Glory,1933,1932
50,William S. Darling,ART DIRECTION,OWA0003,Cavalcade,1933,1932
51,"Charles Bryant Lang, Jr.",CINEMATOGRAPHY,OWA0004,A Farewell to Arms,1933,1932
52,Frank Lloyd,DIRECTING,OWA0012,Cavalcade,1933,1932
53,Fox,OUTSTANDING PRODUCTION,OWA0014,Cavalcade,1933,1932
54,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,The Three Little Pigs,1933,1932
55,"Louis Brock, Producer",SHORT SUBJECT (Comedy),OWA0017,So This Is Harris,1933,1932
56,"Joe Rock, Producer",SHORT SUBJECT (Novelty),OWA0018,Krakatoa,1933,1932
57,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",SOUND RECORDING,OWA0015,A Farewell to Arms,1933,1932
58,"Victor Heerman, Sarah Y. Mason",WRITING (Adaptation),OWA0010,Little Women,1933,1932
59,Robert Lord,WRITING (Original Story),OWA0011,One Way Passage,1933,1932
60,Clark Gable,ACTOR,OWA0001,It Happened One Night,1935,1934
61,Claudette Colbert,ACTRESS,OWA0002,It Happened One Night,1935,1934
62,"Cedric Gibbons, Fredric Hope",ART DIRECTION,OWA0003,The Merry Widow,1935,1934
63,John Waters,ASSISTANT DIRECTOR,OWA0019,Viva Villa!,1935,1934
64,Victor Milner,CINEMATOGRAPHY,OWA0004,Cleopatra,1935,1934
65,Frank Capra,DIRECTING,OWA0012,It Happened One Night,1935,1934
66,Conrad Nervig,FILM EDITING,OWA0020,Eskimo,1935,1934
67,"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",MUSIC (Scoring),OWA0021,One Night of Love,1935,1934
68,Music by Con Conrad; Lyrics by Herb Magidson,MUSIC (Song),OWA0022,The Gay Divorcee,1935,1934
69,Columbia,OUTSTANDING PRODUCTION,OWA0014,It Happened One Night,1935,1934
70,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,The Tortoise and the Hare,1935,1934
71,"Kenneth Macgowan, Producer",SHORT SUBJECT (Comedy),OWA0017,La Cucaracha,1935,1934
72,"Stacy Woodard and Horace Woodard, Producers",SHORT SUBJECT (Novelty),OWA0018,City of Wax,1935,1934
73,"Columbia Studio Sound Department, John Livadary, Sound Director",SOUND RECORDING,OWA0015,One Night of Love,1935,1934
74,Robert Riskin,WRITING (Adaptation),OWA0010,It Happened One Night,1935,1934
75,Arthur Caesar,WRITING (Original Story),OWA0011,Manhattan Melodrama,1935,1934
76,Victor McLaglen,ACTOR,OWA0001,The Informer,1936,1935
77,Bette Davis,ACTRESS,OWA0002,Dangerous,1936,1935
78,Richard Day,ART DIRECTION,OWA0003,The Dark Angel,1936,1935
79,"Clem Beauchamp, Paul Wing",ASSISTANT DIRECTOR,OWA0019,The Lives of a Bengal Lancer,1936,1935
80,Hal Mohr,CINEMATOGRAPHY,OWA0004,A Midsummer Night's Dream,1936,1935
81,Dave Gould,DANCE DIRECTION,OWA0023,Broadway Melody of 1936;,1936,1935
82,John Ford,DIRECTING,OWA0012,The Informer,1936,1935
83,Ralph Dawson,FILM EDITING,OWA0020,A Midsummer Night's Dream,1936,1935
84,"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",MUSIC (Scoring),OWA0021,The Informer,1936,1935
85,Music by Harry Warren; Lyrics by Al Dubin,MUSIC (Song),OWA0022,Gold Diggers of 1935,1936,1935
86,Metro-Goldwyn-Mayer,OUTSTANDING PRODUCTION,OWA0014,Mutiny on the Bounty,1936,1935
87,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,Three Orphan Kittens,1936,1935
88,"Jack Chertok, Producer",SHORT SUBJECT (Comedy),OWA0017,How to Sleep,1936,1935
89,Gaumont British and Skibo Productions,SHORT SUBJECT (Novelty),OWA0018,Wings over Mt. Everest,1936,1935
90,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",SOUND RECORDING,OWA0015,Naughty Marietta,1936,1935
91,"Ben Hecht, Charles MacArthur",WRITING (Original Story),OWA0011,The Scoundrel,1936,1935
92,Dudley Nichols,WRITING (Screenplay),OWA0024,The Informer,1936,1935
93,Paul Muni,ACTOR,OWA0001,The Story of Louis Pasteur,1937,1936
94,Walter Brennan,ACTOR IN A SUPPORTING ROLE,OWA0025,Come and Get It,1937,1936
95,Luise Rainer,ACTRESS,OWA0002,The Great Ziegfeld,1937,1936
96,Gale Sondergaard,ACTRESS IN A SUPPORTING ROLE,OWA0026,Anthony Adverse,1937,1936
97,Richard Day,ART DIRECTION,OWA0003,Dodsworth,1937,1936
98,Jack Sullivan,ASSISTANT DIRECTOR,OWA0019,The Charge of the Light Brigade,1937,1936
99,Gaetano Gaudio,CINEMATOGRAPHY,OWA0004,Anthony Adverse,1937,1936
100,Seymour Felix,DANCE DIRECTION,OWA0023,The Great Ziegfeld,1937,1936
101,Frank Capra,DIRECTING,OWA0012,Mr. Deeds Goes to Town,1937,1936
102,Ralph Dawson,FILM EDITING,OWA0020,Anthony Adverse,1937,1936
103,"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",MUSIC (Scoring),OWA0021,Anthony Adverse,1937,1936
104,Music by Jerome Kern; Lyrics by Dorothy Fields,MUSIC (Song),OWA0022,Swing Time,1937,1936
105,Metro-Goldwyn-Mayer,OUTSTANDING PRODUCTION,OWA0014,The Great Ziegfeld,1937,1936
106,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,The Country Cousin,1937,1936
107,Warner Bros.,SHORT SUBJECT (Color),OWA0027,Give Me Liberty,1937,1936
108,"Hal Roach, Producer",SHORT SUBJECT (One-reel),OWA0028,Bored of Education,1937,1936
109,Metro-Goldwyn-Mayer,SHORT SUBJECT (Two-reel),OWA0029,The Public Pays,1937,1936
110,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",SOUND RECORDING,OWA0015,San Francisco,1937,1936
111,"Pierre Collings, Sheridan Gibney",WRITING (Original Story),OWA0011,The Story of Louis Pasteur,1937,1936
112,"Pierre Collings, Sheridan Gibney",WRITING (Screenplay),OWA0024,The Story of Louis Pasteur,1937,1936
113,Spencer Tracy,ACTOR,OWA0001,Captains Courageous,1938,1937
114,Joseph Schildkraut,ACTOR IN A SUPPORTING ROLE,OWA0025,The Life of Emile Zola,1938,1937
115,Luise Rainer,ACTRESS,OWA0002,The Good Earth,1938,1937
116,Alice Brady,ACTRESS IN A SUPPORTING ROLE,OWA0026,In Old Chicago,1938,1937
117,Stephen Goosson,ART DIRECTION,OWA0003,Lost Horizon,1938,1937
118,Robert Webb,ASSISTANT DIRECTOR,OWA0019,In Old Chicago,1938,1937
119,Karl Freund,CINEMATOGRAPHY,OWA0004,The Good Earth,1938,1937
120,Hermes Pan,DANCE DIRECTION,OWA0023,A Damsel in Distress,1938,1937
121,Leo McCarey,DIRECTING,OWA0012,The Awful Truth,1938,1937
122,"Gene Havlick, Gene Milford",FILM EDITING,OWA0020,Lost Horizon,1938,1937
123,"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)",MUSIC (Scoring),OWA0021,One Hundred Men and a Girl,1938,1937
124,Music and Lyrics by Harry Owens,MUSIC (Song),OWA0022,Waikiki Wedding,1938,1937
125,Warner Bros.,OUTSTANDING PRODUCTION,OWA0014,The Life of Emile Zola,1938,1937
126,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,The Old Mill,1938,1937
127,"Pete Smith, Producer",SHORT SUBJECT (Color),OWA0027,Penny Wisdom,1938,1937
128,Skibo Productions,SHORT SUBJECT (One-reel),OWA0028,The Private Life of the Gannets,1938,1937
129,Metro-Goldwyn-Mayer,SHORT SUBJECT (Two-reel),OWA0029,Torture Money,1938,1937
130,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",SOUND RECORDING,OWA0015,The Hurricane,1938,1937
131,"William A. Wellman, Robert Carson",WRITING (Original Story),OWA0011,A Star Is Born,1938,1937
132,"Norman Reilly Raine, Heinz Herald, Geza Herczeg",WRITING (Screenplay),OWA0024,The Life of Emile Zola,1938,1937
133,Spencer Tracy,ACTOR,OWA0001,Boys Town,1939,1938
134,Walter Brennan,ACTOR IN A SUPPORTING ROLE,OWA0025,Kentucky,1939,1938
135,Bette Davis,ACTRESS,OWA0002,Jezebel,1939,1938
136,Fay Bainter,ACTRESS IN A SUPPORTING ROLE,OWA0026,Jezebel,1939,1938
137,Carl J. Weyl,ART DIRECTION,OWA0003,The Adventures of Robin Hood,1939,1938
138,Joseph Ruttenberg,CINEMATOGRAPHY,OWA0004,The Great Waltz,1939,1938
139,Frank Capra,DIRECTING,OWA0012,You Can't Take It with You,1939,1938
140,Ralph Dawson,FILM EDITING,OWA0020,The Adventures of Robin Hood,1939,1938
141,Erich Wolfgang Korngold,MUSIC (Original Score),OWA0030,The Adventures of Robin Hood,1939,1938
142,Alfred Newman,MUSIC (Scoring),OWA0021,Alexander's Ragtime Band,1939,1938
143,Music by Ralph Rainger; Lyrics by Leo Robin,MUSIC (Song),OWA0022,The Big Broadcast of 1938,1939,1938
144,Columbia,OUTSTANDING PRODUCTION,OWA0014,You Can't Take It with You,1939,1938
145,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,Ferdinand the Bull,1939,1938
146,Metro-Goldwyn-Mayer,SHORT SUBJECT (One-reel),OWA0028,That Mothers Might Live,1939,1938
147,Warner Bros.,SHORT SUBJECT (Two-reel),OWA0029,Declaration of Independence,1939,1938
148,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",SOUND RECORDING,OWA0015,The Cowboy and the Lady,1939,1938
149,"Dore Schary, Eleanore Griffin",WRITING (Original Story),OWA0011,Boys Town,1939,1938
150,"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",WRITING (Screenplay),OWA0024,Pygmalion,1939,1938
151,Robert Donat,ACTOR,OWA0001,"Goodbye, Mr. Chips",1940,1939
152,Thomas Mitchell,ACTOR IN A SUPPORTING ROLE,OWA0025,Stagecoach,1940,1939
153,Vivien Leigh,ACTRESS,OWA0002,Gone with the Wind,1940,1939
154,Hattie McDaniel,ACTRESS IN A SUPPORTING ROLE,OWA0026,Gone with the Wind,1940,1939
155,Lyle Wheeler,ART DIRECTION,OWA0003,Gone with the Wind,1940,1939
156,Gregg Toland,CINEMATOGRAPHY (Black-and-White),OWA0031,Wuthering Heights,1940,1939
157,"Ernest Haller, Ray Rennahan",CINEMATOGRAPHY (Color),OWA0032,Gone with the Wind,1940,1939
158,Victor Fleming,DIRECTING,OWA0012,Gone with the Wind,1940,1939
159,"Hal C. Kern, James E. Newcom",FILM EDITING,OWA0020,Gone with the Wind,1940,1939
160,Herbert Stothart,MUSIC (Original Score),OWA0030,The Wizard of Oz,1940,1939
161,"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",MUSIC (Scoring),OWA0021,Stagecoach,1940,1939
162,Music by Harold Arlen; Lyrics by E. Y. Harburg,MUSIC (Song),OWA0022,The Wizard of Oz,1940,1939
163,Selznick International Pictures,OUTSTANDING PRODUCTION,OWA0014,Gone with the Wind,1940,1939
164,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,The Ugly Duckling,1940,1939
165,Paramount,SHORT SUBJECT (One-reel),OWA0028,Busy Little Bears,1940,1939
166,Warner Bros.,SHORT SUBJECT (Two-reel),OWA0029,Sons of Liberty,1940,1939
167,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",SOUND RECORDING,OWA0015,When Tomorrow Comes,1940,1939
168,"Fred Sersen, E. H. Hansen",SPECIAL EFFECTS,OWA0033,The Rains Came,1940,1939
169,Lewis R. Foster,WRITING (Original Story),OWA0011,Mr. Smith Goes to Washington,1940,1939
170,Sidney Howard,WRITING (Screenplay),OWA0024,Gone with the Wind,1940,1939
171,James Stewart,ACTOR,OWA0001,The Philadelphia Story,1941,1940
172,Walter Brennan,ACTOR IN A SUPPORTING ROLE,OWA0025,The Westerner,1941,1940
173,Ginger Rogers,ACTRESS,OWA0002,Kitty Foyle,1941,1940
174,Jane Darwell,ACTRESS IN A SUPPORTING ROLE,OWA0026,The Grapes of Wrath,1941,1940
175,"Cedric Gibbons, Paul Groesse",ART DIRECTION (Black-and-White),OWA0034,Pride and Prejudice,1941,1940
176,Vincent Korda,ART DIRECTION (Color),OWA0035,The Thief of Bagdad,1941,1940
177,George Barnes,CINEMATOGRAPHY (Black-and-White),OWA0031,Rebecca,1941,1940
178,Georges Périnal,CINEMATOGRAPHY (Color),OWA0032,The Thief of Bagdad,1941,1940
179,John Ford,DIRECTING,OWA0012,The Grapes of Wrath,1941,1940
180,Anne Bauchens,FILM EDITING,OWA0020,North West Mounted Police,1941,1940
181,"Leigh Harline, Paul J. Smith, Ned Washington",MUSIC (Original Score),OWA0030,Pinocchio,1941,1940
182,Alfred Newman,MUSIC (Scoring),OWA0021,Tin Pan Alley,1941,1940
183,Music by Leigh Harline; Lyrics by Ned Washington,MUSIC (Song),OWA0022,Pinocchio,1941,1940
184,Selznick International Pictures,OUTSTANDING PRODUCTION,OWA0014,Rebecca,1941,1940
185,Metro-Goldwyn-Mayer,SHORT SUBJECT (Cartoon),OWA0016,The Milky Way,1941,1940
186,"Pete Smith, Producer",SHORT SUBJECT (One-reel),OWA0028,Quicker 'N a Wink,1941,1940
187,Warner Bros.,SHORT SUBJECT (Two-reel),OWA0029,"Teddy, the Rough Rider",1941,1940
188,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",SOUND RECORDING,OWA0015,Strike Up the Band,1941,1940
189,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,SPECIAL EFFECTS,OWA0033,The Thief of Bagdad,1941,1940
190,Preston Sturges,WRITING (Original Screenplay),OWA0036,The Great McGinty,1941,1940
191,"Benjamin Glazer, John S. Toldy",WRITING (Original Story),OWA0011,"Arise, My Love",1941,1940
192,Donald Ogden Stewart,WRITING (Screenplay),OWA0024,The Philadelphia Story,1941,1940
193,Gary Cooper,ACTOR,OWA0001,Sergeant York,1942,1941
194,Donald Crisp,ACTOR IN A SUPPORTING ROLE,OWA0025,How Green Was My Valley,1942,1941
195,Joan Fontaine,ACTRESS,OWA0002,Suspicion,1942,1941
196,Mary Astor,ACTRESS IN A SUPPORTING ROLE,OWA0026,The Great Lie,1942,1941
197,"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little",ART DIRECTION (Black-and-White),OWA0034,How Green Was My Valley,1942,1941
198,"Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis",ART DIRECTION (Color),OWA0035,Blossoms in the Dust,1942,1941
199,Arthur Miller,CINEMATOGRAPHY (Black-and-White),OWA0031,How Green Was My Valley,1942,1941
200,"Ernest Palmer, Ray Rennahan",CINEMATOGRAPHY (Color),OWA0032,Blood and Sand,1942,1941
201,John Ford,DIRECTING,OWA0012,How Green Was My Valley,1942,1941
202,National Film Board of Canada,DOCUMENTARY (Short Subject),OWA0037,Churchill's Island,1942,1941
203,William Holmes,FILM EDITING,OWA0020,Sergeant York,1942,1941
204,Bernard Herrmann,MUSIC (Music Score of a Dramatic Picture),OWA0038,All That Money Can Buy,1942,1941
205,"Frank Churchill, Oliver Wallace",MUSIC (Scoring of a Musical Picture),OWA0039,Dumbo,1942,1941
206,Music by Jerome Kern; Lyrics by Oscar Hammerstein II,MUSIC (Song),OWA0022,Lady Be Good,1942,1941
207,20th Century-Fox,OUTSTANDING MOTION PICTURE,OWA0040,How Green Was My Valley,1942,1941
208,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,Lend a Paw,1942,1941
209,Metro-Goldwyn-Mayer,SHORT SUBJECT (One-reel),OWA0028,Of Pups and Puzzles,1942,1941
210,Metro-Goldwyn-Mayer,SHORT SUBJECT (Two-reel),OWA0029,Main Street on the March!,1942,1941
211,"General Service Sound Department, Jack Whitney, Sound Director",SOUND RECORDING,OWA0015,That Hamilton Woman,1942,1941
212,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",SPECIAL EFFECTS,OWA0033,I Wanted Wings,1942,1941
213,"Herman J. Mankiewicz, Orson Welles",WRITING (Original Screenplay),OWA0036,Citizen Kane,1942,1941
214,Harry Segall,WRITING (Original Story),OWA0011,Here Comes Mr. Jordan,1942,1941
215,"Sidney Buchman, Seton I. Miller",WRITING (Screenplay),OWA0024,Here Comes Mr. Jordan,1942,1941
216,James Cagney,ACTOR,OWA0001,Yankee Doodle Dandy,1943,1942
217,Van Heflin,ACTOR IN A SUPPORTING ROLE,OWA0025,Johnny Eager,1943,1942
218,Greer Garson,ACTRESS,OWA0002,Mrs. Miniver,1943,1942
219,Teresa Wright,ACTRESS IN A SUPPORTING ROLE,OWA0026,Mrs. Miniver,1943,1942
220,"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",ART DIRECTION (Black-and-White),OWA0034,This above All,1943,1942
221,"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",ART DIRECTION (Color),OWA0035,My Gal Sal,1943,1942
222,Joseph Ruttenberg,CINEMATOGRAPHY (Black-and-White),OWA0031,Mrs. Miniver,1943,1942
223,Leon Shamroy,CINEMATOGRAPHY (Color),OWA0032,The Black Swan,1943,1942
224,William Wyler,DIRECTING,OWA0012,Mrs. Miniver,1943,1942
225,United States Navy,DOCUMENTARY,OWA0041,The Battle of Midway,1943,1942
226,Australian News & Information Bureau,DOCUMENTARY,OWA0041,Kokoda Front Line!,1943,1942
227,Artkino,DOCUMENTARY,OWA0041,Moscow Strikes Back,1943,1942
228,United States Army Special Services,DOCUMENTARY,OWA0041,Prelude to War,1943,1942
229,Daniel Mandell,FILM EDITING,OWA0020,The Pride of the Yankees,1943,1942
230,Max Steiner,MUSIC (Music Score of a Dramatic or Comedy Picture),OWA0042,"Now, Voyager",1943,1942
231,"Ray Heindorf, Heinz Roemheld",MUSIC (Scoring of a Musical Picture),OWA0039,Yankee Doodle Dandy,1943,1942
232,Music and Lyrics by Irving Berlin,MUSIC (Song),OWA0022,Holiday Inn,1943,1942
233,Metro-Goldwyn-Mayer,OUTSTANDING MOTION PICTURE,OWA0040,Mrs. Miniver,1943,1942
234,"Walt Disney, Producer",SHORT SUBJECT (Cartoon),OWA0016,Der Fuehrer's Face,1943,1942
235,Paramount,SHORT SUBJECT (One-reel),OWA0028,Speaking of Animals and Their Families,1943,1942
236,Warner Bros.,SHORT SUBJECT (Two-reel),OWA0029,Beyond the Line of Duty,1943,1942
237,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",SOUND RECORDING,OWA0015,Yankee Doodle Dandy,1943,1942
238,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",SPECIAL EFFECTS,OWA0033,Reap the Wild Wind,1943,1942
239,Emeric Pressburger,WRITING (Original Motion Picture Story),OWA0043,The Invaders,1943,1942
240,"Ring Lardner, Jr., Michael Kanin",WRITING (Original Screenplay),OWA0036,Woman of the Year,1943,1942
241,"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",WRITING (Screenplay),OWA0024,Mrs. Miniver,1943,1942
242,Paul Lukas,ACTOR,OWA0001,Watch on the Rhine,1944,1943
243,Charles Coburn,ACTOR IN A SUPPORTING ROLE,OWA0025,The More the Merrier,1944,1943
244,Jennifer Jones,ACTRESS,OWA0002,The Song of Bernadette,1944,1943
