Movie_ID,Movie_Name,Rating,Votes,Meta_score,PG_Rating,Year,Duration,Director,Director_ID
1,Leave the World Behind,6.5,90000,67,R,2023,2h 18m,Sam Esmail,1
2,Wonka,7.4,24000,66,PG,2023,1h 56m,Paul King,2
3,Paddington 2,7.8,90000,88,PG,2017,1h 43m,Paul King,2
4,Paddington,7.3,129000,77,PG,2014,1h 35m,Paul King,2
5,Poor Things,8.5,6700,86,R,2023,2h 21m,Yorgos Lanthimos,3
6,The Favourite,7.5,216000,91,R,2018,1h 59m,Yorgos Lanthimos,3
7,The Killing of a Sacred Deer,7.0,174000,73,R,2017,2h 1m,Yorgos Lanthimos,3
8,The Lobster,7.1,281000,82,R,2015,1h 59m,Yorgos Lanthimos,3
9,Killers of the Flower Moon,7.8,128000,89,R,2023,3h 26m,Martin Scorsese,4
10,The Wolf of Wall Street,8.2,1500000,75,R,2013,3h,Martin Scorsese,4
11,Goodfellas,8.7,1200000,92,R,1990,2h 25m,Martin Scorsese,4
12,The Departed,8.5,1400000,85,R,2006,2h 31m,Martin Scorsese,4
13,Shutter Island,8.2,1400000,63,R,2010,2h 18m,Martin Scorsese,4
14,Taxi Driver,8.2,899000,94,R,1976,1h 54m,Martin Scorsese,4
15,The Irishman,7.8,421000,94,R,2019,3h 29m,Martin Scorsese,4
16,Casino,8.2,553000,73,R,1995,2h 58m,Martin Scorsese,4
17,Gangs of New York,7.5,466000,72,R,2002,2h 47m,Martin Scorsese,4
18,Cape Fear,7.3,212000,73,R,1991,2h 8m,Martin Scorsese,4
19,Silence,7.2,121000,79,R,2016,2h 41m,Martin Scorsese,4
20,Raging Bull,8.1,373000,90,R,1980,2h 9m,Martin Scorsese,4
21,Hugo,7.5,334000,83,PG,2011,2h 6m,Martin Scorsese,4
22,The Aviator,7.5,379000,77,PG-13,2004,2h 50m,Martin Scorsese,4
23,After Hours,7.6,78000,90,R,1985,1h 37m,Martin Scorsese,4
24,May December,7.0,21000,85,R,2023,1h 57m,Todd Haynes,5
25,Carol,7.2,140000,94,R,2015,1h 58m,Todd Haynes,5
26,Dark Waters,7.6,98000,73,PG-13,2019,2h 6m,Todd Haynes,5
27,The Hunger Games: The Ballad of Songbirds & Snakes,7.1,56000,54,PG-13,2023,2h 37m,Francis Lawrence,6
28,The Hunger Games: Catching Fire,7.5,707000,76,PG-13,2013,2h 26m,Francis Lawrence,6
29,The Hunger Games: Mockingjay - Part 2,6.5,362000,65,PG-13,2015,2h 17m,Francis Lawrence,6
30,The Hunger Games: Mockingjay - Part 1,6.6,491000,64,PG-13,2014,2h 3m,Francis Lawrence,6
31,Red Sparrow,6.6,198000,53,R,2018,2h 20m,Francis Lawrence,6
32,I Am Legend,7.2,800000,65,PG-13,2007,1h 41m,Francis Lawrence,6
33,Constantine,7.0,368000,50,R,2005,2h 1m,Francis Lawrence,6
34,Napoleon,6.6,66000,64,R,2023,2h 38m,Ridley Scott,7
35,Gladiator,8.5,1600000,67,R,2000,2h 35m,Ridley Scott,7
36,Kingdom of Heaven,7.2,308000,63,R,2005,2h 24m,Ridley Scott,7
37,Prometheus,7.0,635000,64,R,2012,2h 4m,Ridley Scott,7
38,Alien,8.5,931000,89,R,1979,1h 57m,Ridley Scott,7
39,Blade Runner,8.1,809000,84,R,1982,1h 57m,Ridley Scott,7
40,Alien: Covenant,6.4,298000,65,R,2017,2h 2m,Ridley Scott,7
41,The Martian,8.0,905000,80,PG-13,2015,2h 24m,Ridley Scott,7
42,The Last Duel,7.4,176000,67,R,2021,2h 32m,Ridley Scott,7
43,Black Hawk Down,7.7,417000,74,R,2001,2h 24m,Ridley Scott,7
44,American Gangster,7.8,446000,76,R,2007,2h 37m,Ridley Scott,7
45,Robin Hood,6.6,280000,53,PG-13,2010,2h 20m,Ridley Scott,7
46,Hannibal,6.8,289000,57,R,2001,2h 11m,Ridley Scott,7
47,House of Gucci,6.6,154000,59,R,2021,2h 38m,Ridley Scott,7
48,The Counselor,5.4,105000,48,R,2013,1h 57m,Ridley Scott,7
49,Exodus: Gods and Kings,6.0,176000,52,PG-13,2014,2h 30m,Ridley Scott,7
50,Thelma & Louise,7.6,168000,89,R,1991,2h 10m,Ridley Scott,7
51,Oppenheimer,8.4,553000,89,R,2023,3h,Christopher Nolan,8
52,Interstellar,8.7,2000000,74,PG-13,2014,2h 49m,Christopher Nolan,8
53,The Dark Knight,9.0,2800000,84,PG-13,2008,2h 32m,Christopher Nolan,8
54,Inception,8.8,2500000,74,PG-13,2010,2h 28m,Christopher Nolan,8
55,The Prestige,8.5,1400000,66,PG-13,2006,2h 10m,Christopher Nolan,8
56,The Dark Knight Rises,8.4,1800000,78,PG-13,2012,2h 44m,Christopher Nolan,8
57,Tenet,7.3,572000,69,PG-13,2020,2h 30m,Christopher Nolan,8
58,Memento,8.4,1300000,83,R,2000,1h 53m,Christopher Nolan,8
59,Batman Begins,8.2,1500000,70,PG-13,2005,2h 20m,Christopher Nolan,8
60,Dunkirk,7.8,721000,94,PG-13,2017,1h 46m,Christopher Nolan,8
61,Insomnia,7.2,313000,78,R,2002,1h 58m,Christopher Nolan,8
62,Love Actually,7.6,517000,55,R,2003,2h 15m,Richard Curtis,9
63,About Time,7.8,377000,55,R,2013,2h 3m,Richard Curtis,9
64,Candy Cane Lane,5.6,13000,47,PG,2023,1h 57m,Reginald Hudlin,10
65,Saltburn,7.5,13000,61,R,2023,2h 11m,Emerald Fennell,11
66,Promising Young Woman,7.5,201000,72,R,2020,1h 53m,Emerald Fennell,11
67,Barbie,7.0,417000,80,PG-13,2023,1h 54m,Greta Gerwig,12
68,Little Women,7.8,234000,91,PG,2019,2h 15m,Greta Gerwig,12
