Movie_ID,Movie_Name,Oscar_Award_ID,GG_Award_ID
1,Leave the World Behind,,
2,Wonka,,
3,Paddington 2,,
4,Paddington,,
5,Poor Things,,
6,The Favourite,OWA0081,GG005
7,The Killing of a Sacred Deer,,
8,The Lobster,,
9,Killers of the Flower Moon,,
10,The Wolf of Wall Street,,GG006
11,Goodfellas,,
12,The Departed,OWA0012,
12,The Departed,OWA0020,
12,The Departed,OWA0060,
12,The Departed,OWA0099,
13,Shutter Island,,
14,Taxi Driver,,
15,The Irishman,,
16,Casino,,GG002
17,Gangs of New York,,GG014
18,Cape Fear,,
19,Silence,,
20,Raging Bull,OWA0080,GG003
20,Raging Bull,OWA0020,GG003
21,Hugo,OWA0003,GG011
21,Hugo,OWA0004,GG011
21,Hugo,OWA0097,GG011
21,Hugo,OWA0100,GG011
21,Hugo,OWA0084,GG011
22,The Aviator,OWA0026,GG013
22,The Aviator,OWA0026,GG001
22,The Aviator,OWA0003,GG013
22,The Aviator,OWA0003,GG001
22,The Aviator,OWA0004,GG013
22,The Aviator,OWA0004,GG001
22,The Aviator,OWA0053,GG013
22,The Aviator,OWA0053,GG001
22,The Aviator,OWA0020,GG013
22,The Aviator,OWA0020,GG001
23,After Hours,,
24,May December,,
25,Carol,,
26,Dark Waters,,
27,The Hunger Games: The Ballad of Songbirds & Snakes,,
28,The Hunger Games: Catching Fire,,
29,The Hunger Games: Mockingjay - Part 2,,
30,The Hunger Games: Mockingjay - Part 1,,
31,Red Sparrow,,
32,I Am Legend,,
33,Constantine,,
34,Napoleon,,
35,Gladiator,OWA0080,GG001
35,Gladiator,OWA0080,GG013
35,Gladiator,OWA0053,GG001
35,Gladiator,OWA0053,GG013
35,Gladiator,OWA0060,GG001
35,Gladiator,OWA0060,GG013
35,Gladiator,OWA0057,GG001
35,Gladiator,OWA0057,GG013
35,Gladiator,OWA0084,GG001
35,Gladiator,OWA0084,GG013
36,Kingdom of Heaven,,
37,Prometheus,,
38,Alien,OWA0084,
39,Blade Runner,,
40,Alien: Covenant,,
41,The Martian,,GG004
41,The Martian,,GG006
42,The Last Duel,,
43,Black Hawk Down,OWA0020,
43,Black Hawk Down,OWA0057,
44,American Gangster,,
45,Robin Hood,,
46,Hannibal,,
47,House of Gucci,,
48,The Counselor,,
49,Exodus: Gods and Kings,,
50,Thelma & Louise,OWA0088,
51,Oppenheimer,,
52,Interstellar,OWA0084,
53,The Dark Knight,OWA0025,GG010
53,The Dark Knight,OWA0097,GG010
54,Inception,OWA0004,
54,Inception,OWA0097,
54,Inception,OWA0100,
54,Inception,OWA0084,
55,The Prestige,,
56,The Dark Knight Rises,,
57,Tenet,OWA0084,
58,Memento,,
59,Batman Begins,,
60,Dunkirk,OWA0020,
60,Dunkirk,OWA0097,
60,Dunkirk,OWA0100,
61,Insomnia,,
62,Love Actually,,
63,About Time,,
64,Candy Cane Lane,,
65,Saltburn,,
66,Promising Young Woman,OWA0036,
67,Barbie,,
68,Little Women,OWA0010,
68,Little Women,OWA0035,
68,Little Women,OWA0053,
69,Lady Bird,,GG004
69,Lady Bird,,GG005
70,National Lampoon's Christmas Vacation,,
71,Rebel Moon - Part One: A Child of Fire,,
72,Watchmen,,
73,Man of Steel,,
74,300,,
75,Batman v Superman: Dawn of Justice,,
76,Zack Snyder's Justice League,,
77,Army of the Dead,,
78,Sucker Punch,,
79,Justice League,,
80,Dawn of the Dead,,
81,The Family Plan,,
82,The Holdovers,,
83,Sideways,OWA0099,GG004
84,Downsizing,,
85,Family Switch,,
86,Terminator Salvation,,
87,Charlie's Angels,,
88,Indiana Jones and the Dial of Destiny,,
89,Ford v Ferrari,OWA0020,
89,Ford v Ferrari,OWA0097,
90,Logan,,
91,"Girl, Interrupted",OWA0026,
92,Cop Land,,
93,The Wolverine,,
94,Identity,,
95,Walk the Line,OWA0081,
96,Knight and Day,,
97,Elf,,
98,Iron Man,,
99,Chef,,
100,Iron Man 2,,
101,The Jungle Book,OWA0084,
102,How the Grinch Stole Christmas,,
103,A Beautiful Mind,OWA0026,GG003
103,A Beautiful Mind,OWA0026,GG012
103,A Beautiful Mind,OWA0026,GG001
103,A Beautiful Mind,OWA0026,GG009
103,A Beautiful Mind,OWA0012,GG003
103,A Beautiful Mind,OWA0012,GG012
103,A Beautiful Mind,OWA0012,GG001
103,A Beautiful Mind,OWA0012,GG009
103,A Beautiful Mind,OWA0060,GG003
103,A Beautiful Mind,OWA0060,GG012
103,A Beautiful Mind,OWA0060,GG001
103,A Beautiful Mind,OWA0060,GG009
103,A Beautiful Mind,OWA0095,GG003
103,A Beautiful Mind,OWA0095,GG012
103,A Beautiful Mind,OWA0095,GG001
103,A Beautiful Mind,OWA0095,GG009
104,Solo: A Star Wars Story,,
105,Rush,,
106,Apollo 13,OWA0020,
106,Apollo 13,OWA0057,
107,The Da Vinci Code,,
108,Parenthood,,
109,Backdraft,,
110,Inferno,,
111,In the Heart of the Sea,,
112,Willow,,
113,Maestro,,
114,A Star Is Born,OWA0011,
114,A Star Is Born,OWA0078,
114,A Star Is Born,OWA0078,
115,Mr. Monk's Last Case: A Monk Movie,,
116,The Creator,,
117,Godzilla,,
118,Rogue One: A Star Wars Story,,
119,Monsters,,
120,Chicken Run: Dawn of the Nugget,,
121,Die Hard,,
122,Die Hard with a Vengeance,,
123,Predator,,
124,The Hunt for Red October,OWA0093,
125,The Killer,,
126,Fight Club,,
127,Se7en,,
128,Gone Girl,,
129,The Social Network,OWA0020,GG011
129,The Social Network,OWA0020,GG001
129,The Social Network,OWA0030,GG011
129,The Social Network,OWA0030,GG001
129,The Social Network,OWA0099,GG011
129,The Social Network,OWA0099,GG001
130,The Girl with the Dragon Tattoo,OWA0020,
131,Zodiac,,
132,The Curious Case of Benjamin Button,OWA0003,
132,The Curious Case of Benjamin Button,OWA0092,
132,The Curious Case of Benjamin Button,OWA0084,
133,The Game,,
134,AlienÂ³,,
135,Violent Night,,
136,Home Alone 2: Lost in New York,,
137,Harry Potter and the Sorcerer's Stone,,
138,Harry Potter and the Chamber of Secrets,,
139,The Christmas Chronicles: Part Two,,
140,Percy Jackson & the Olympians: The Lightning Thief,,
141,Mrs. Doubtfire,OWA0092,GG004
141,Mrs. Doubtfire,OWA0092,GG006
142,Adventures in Babysitting,,
143,Pixels,,
144,A Haunting in Venice,,
145,Death on the Nile,OWA0053,
146,Murder on the Orient Express,OWA0026,
147,Belfast,OWA0036,GG012
148,Cinderella,,
149,Thor,,
150,The Marvels,,
151,The Polar Express,,
152,A Christmas Carol,OWA0072,
153,Forrest Gump,OWA0080,GG001
153,Forrest Gump,OWA0080,GG011
153,Forrest Gump,OWA0012,GG001
153,Forrest Gump,OWA0012,GG011
153,Forrest Gump,OWA0020,GG001
153,Forrest Gump,OWA0020,GG011
153,Forrest Gump,OWA0060,GG001
153,Forrest Gump,OWA0060,GG011
153,Forrest Gump,OWA0084,GG001
153,Forrest Gump,OWA0084,GG011
153,Forrest Gump,OWA0095,GG001
153,Forrest Gump,OWA0095,GG011
154,Back to the Future,OWA0093,
155,Cast Away,,GG003
156,Flight,,
157,Contact,,
158,Who Framed Roger Rabbit,OWA0020,
158,Who Framed Roger Rabbit,OWA0093,
158,Who Framed Roger Rabbit,OWA0084,
159,Back to the Future Part II,,
160,The Witches,,
161,Death Becomes Her,OWA0084,
162,Pinocchio,OWA0030,
162,Pinocchio,OWA0022,
163,It's a Wonderful Life,,
164,Five Nights at Freddy's,,
165,The Santa Clause,,
166,Finestkind,,
167,A Knight's Tale,,
168,Payback,,
169,Legend,,
170,Thanksgiving,,
171,Knock Knock,,
172,Hostel,,
173,The Holiday,,
174,The Parent Trap,,
175,The Intern,,
176,The Hunger Games,,
177,Ocean's Eight,,
178,A Christmas Story,,
179,Black Christmas,,
180,Porky's,,
181,Willy Wonka & the Chocolate Factory,,
182,Scrooged,,
183,The Goonies,,
184,Lethal Weapon,,
185,Superman,OWA0073,
186,Ferrari,,
187,Heat,,
188,The Last of the Mohicans,OWA0057,
189,Collateral,,
190,Public Enemies,,
191,No Hard Feelings,,
192,Charlie and the Chocolate Factory,,
193,Batman Returns,,
194,Edward Scissorhands,,
195,Beetlejuice,OWA0092,
196,Planet of the Apes,,
197,Batman,OWA0003,
198,Alice in Wonderland,OWA0003,
198,Alice in Wonderland,OWA0053,
199,Sleepy Hollow,OWA0003,
200,Sweeney Todd: The Demon Barber of Fleet Street,,GG006
200,Sweeney Todd: The Demon Barber of Fleet Street,,GG004
201,Big Fish,,
202,Mars Attacks!,,
203,Miss Peregrine's Home for Peculiar Children,,
204,X,,
205,Pearl,,
206,Mission: Impossible - Dead Reckoning Part One,,
207,Jack Reacher,,
208,Mission: Impossible - Fallout,,
209,Mission: Impossible - Rogue Nation,,
210,Asteroid City,,
211,The Grand Budapest Hotel,OWA0053,GG004
211,The Grand Budapest Hotel,OWA0101,GG004
211,The Grand Budapest Hotel,OWA0030,GG004
211,The Grand Budapest Hotel,OWA0102,GG004
212,Fantastic Mr. Fox,,
213,The French Dispatch,,
214,The Life Aquatic with Steve Zissou,,
215,The Royal Tenenbaums,,GG006
216,Moonrise Kingdom,,
217,Blue Beetle,,
218,Eileen,,
219,Love and Monsters,,
220,Dune,OWA0004,GG013
