title,year,status,award
Succession,2024,Winner,Best Television Series - Drama
Mission: Impossible - Dead Reckoning Part 1,2024,Nominee,Cinematic and Box Office Achievement
"Last of Us, The",2024,Nominee,Best Television Series - Drama
Taylor Swift: The Eras Tour,2024,Nominee,Cinematic and Box Office Achievement
John Wick: Chapter 4,2024,Nominee,Cinematic and Box Office Achievement
The Super Mario Bros. Movie,2024,Nominee,Cinematic and Box Office Achievement
Guardians of the Galaxy Vol. 3,2024,Nominee,Cinematic and Box Office Achievement
Spider-Man: Across the Spider-Verse,2024,Nominee,Cinematic and Box Office Achievement
Oppenheimer,2024,Nominee,Cinematic and Box Office Achievement
Barbie,2024,Winner,Cinematic and Box Office Achievement
"Crown, The",2024,Nominee,Best Television Series - Drama
Christopher Nolan,2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Screenplay - Motion Picture
"Justine Triet, Arthur Harari",2024,Winner,Best Screenplay - Motion Picture
"Morning Show, The",2024,Nominee,Best Television Series - Drama
"Eric Roth, Martin Scorsese",2024,Nominee,Best Screenplay - Motion Picture
Tony McNamara,2024,Nominee,Best Screenplay - Motion Picture
"Greta Gerwig, Noah Baumbach",2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Director - Motion Picture
Bradley Cooper,2024,Nominee,Best Director - Motion Picture
"Crown, The",2024,Nominee,Best Television Series - Drama
Christopher Nolan,2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Screenplay - Motion Picture
"Justine Triet, Arthur Harari",2024,Winner,Best Screenplay - Motion Picture
"Morning Show, The",2024,Nominee,Best Television Series - Drama
"Eric Roth, Martin Scorsese",2024,Nominee,Best Screenplay - Motion Picture
Tony McNamara,2024,Nominee,Best Screenplay - Motion Picture
"Greta Gerwig, Noah Baumbach",2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Director - Motion Picture
Bradley Cooper,2024,Nominee,Best Director - Motion Picture
"Crown, The",2024,Nominee,Best Television Series - Drama
Christopher Nolan,2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Screenplay - Motion Picture
"Justine Triet, Arthur Harari",2024,Winner,Best Screenplay - Motion Picture
"Morning Show, The",2024,Nominee,Best Television Series - Drama
"Eric Roth, Martin Scorsese",2024,Nominee,Best Screenplay - Motion Picture
Tony McNamara,2024,Nominee,Best Screenplay - Motion Picture
"Greta Gerwig, Noah Baumbach",2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Director - Motion Picture
Bradley Cooper,2024,Nominee,Best Director - Motion Picture
"Crown, The",2024,Nominee,Best Television Series - Drama
Christopher Nolan,2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Screenplay - Motion Picture
"Justine Triet, Arthur Harari",2024,Winner,Best Screenplay - Motion Picture
"Morning Show, The",2024,Nominee,Best Television Series - Drama
"Eric Roth, Martin Scorsese",2024,Nominee,Best Screenplay - Motion Picture
Tony McNamara,2024,Nominee,Best Screenplay - Motion Picture
"Greta Gerwig, Noah Baumbach",2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Director - Motion Picture
Bradley Cooper,2024,Nominee,Best Director - Motion Picture
"Crown, The",2024,Nominee,Best Television Series - Drama
Christopher Nolan,2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Screenplay - Motion Picture
"Justine Triet, Arthur Harari",2024,Winner,Best Screenplay - Motion Picture
"Morning Show, The",2024,Nominee,Best Television Series - Drama
"Eric Roth, Martin Scorsese",2024,Nominee,Best Screenplay - Motion Picture
Tony McNamara,2024,Nominee,Best Screenplay - Motion Picture
"Greta Gerwig, Noah Baumbach",2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Director - Motion Picture
Bradley Cooper,2024,Nominee,Best Director - Motion Picture
Imelda Staunton,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
The Super Mario Bros. Movie,2024,Nominee,Best Motion Picture - Animated
Spider-Man: Across the Spider-Verse,2024,Nominee,Best Motion Picture - Animated
Elemental,2024,Nominee,Best Motion Picture - Animated
"Boy and the Heron, The",2024,Winner,Best Motion Picture - Animated
Jeffrey Wright,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy
Joaquin Phoenix,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy
