Movie Name,Year Ceremony,Oscar Award,Oscar Winner,Year,Golden Globe Award,GG Winer
The Last Command,1928,ACTOR,Emil Jannings,0,,
7th Heaven,1928,ACTRESS,Janet Gaynor,0,,
7th Heaven,1928,DIRECTING (Dramatic Picture),Frank Borzage,0,,
7th Heaven,1928,WRITING (Adaptation),Benjamin Glazer,0,,
The Dove;,1928,ART DIRECTION,William Cameron Menzies,0,,
Sunrise,1928,CINEMATOGRAPHY,Charles Rosher,0,,
Sunrise,1928,CINEMATOGRAPHY,Karl Struss,0,,
Sunrise,1928,UNIQUE AND ARTISTIC PICTURE,Fox,0,,
Two Arabian Knights,1928,DIRECTING (Comedy Picture),Lewis Milestone,0,,
Wings,1928,ENGINEERING EFFECTS,Roy Pomeroy,0,,
Wings,1928,OUTSTANDING PICTURE,Paramount Famous Lasky,0,,
Underworld,1928,WRITING (Original Story),Ben Hecht,0,,
In Old Arizona,1929,ACTOR,Warner Baxter,0,,
Coquette,1929,ACTRESS,Mary Pickford,0,,
The Bridge of San Luis Rey,1929,ART DIRECTION,Cedric Gibbons,0,,
White Shadows in the South Seas,1929,CINEMATOGRAPHY,Clyde De Vinna,0,,
The Divine Lady,1929,DIRECTING,Frank Lloyd,0,,
The Broadway Melody,1929,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,0,,
The Patriot,1929,WRITING,Hans Kraly,0,,
Disraeli,1930,ACTOR,George Arliss,0,,
The Divorcee,1930,ACTRESS,Norma Shearer,0,,
King of Jazz,1930,ART DIRECTION,Herman Rosse,0,,
With Byrd at the South Pole,1930,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",0,,
All Quiet on the Western Front,1930,DIRECTING,Lewis Milestone,0,,
All Quiet on the Western Front,1930,OUTSTANDING PRODUCTION,Universal,0,,
All Quiet on the Western Front,2023,CINEMATOGRAPHY,James Friend,0,,
All Quiet on the Western Front,2023,INTERNATIONAL FEATURE FILM,Germany,0,,
All Quiet on the Western Front,2023,MUSIC (Original Score),Volker Bertelmann,0,,
All Quiet on the Western Front,2023,PRODUCTION DESIGN,Production Design: Christian M. Goldbeck; Set Decoration: Ernestine Hipper,0,,
The Big House,1930,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",0,,
The Big House,1930,WRITING,Frances Marion,0,,
A Free Soul,1931,ACTOR,Lionel Barrymore,0,,
Min and Bill,1931,ACTRESS,Marie Dressler,0,,
Cimarron,1931,ART DIRECTION,Max Rée,0,,
Cimarron,1931,OUTSTANDING PRODUCTION,RKO Radio,0,,
Cimarron,1931,WRITING (Adaptation),Howard Estabrook,0,,
Tabu,1931,CINEMATOGRAPHY,Floyd Crosby,0,,
Skippy,1931,DIRECTING,Norman Taurog,0,,
The Dawn Patrol,1931,WRITING (Original Story),John Monk Saunders,0,,
The Champ,1932,ACTOR,Wallace Beery,1980,New Star Of The Year - Actor,Ricky/Rick Schroder
The Champ,1932,WRITING (Original Story),Frances Marion,1980,New Star Of The Year - Actor,Ricky/Rick Schroder
Dr. Jekyll and Mr. Hyde,1932,ACTOR,Fredric March,0,,
The Sin of Madelon Claudet,1932,ACTRESS,Helen Hayes,0,,
Transatlantic,1932,ART DIRECTION,Gordon Wiles,0,,
Shanghai Express,1932,CINEMATOGRAPHY,Lee Garmes,0,,
Bad Girl,1932,DIRECTING,Frank Borzage,0,,
Bad Girl,1932,WRITING (Adaptation),Edwin Burke,0,,
Grand Hotel,1932,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,0,,
Flowers and Trees,1932,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
The Music Box,1932,SHORT SUBJECT (Comedy),"Hal Roach, Producer",0,,
Wrestling Swordfish,1932,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",0,,
The Private Life of Henry VIII,1933,ACTOR,Charles Laughton,0,,
Morning Glory,1933,ACTRESS,Katharine Hepburn,0,,
Cavalcade,1933,ART DIRECTION,William S. Darling,0,,
Cavalcade,1933,DIRECTING,Frank Lloyd,0,,
Cavalcade,1933,OUTSTANDING PRODUCTION,Fox,0,,
A Farewell to Arms,1933,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",0,,
A Farewell to Arms,1933,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",0,,
The Three Little Pigs,1933,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",0,,
So This Is Harris,1933,SHORT SUBJECT (Comedy),"Louis Brock, Producer",0,,
Krakatoa,1933,SHORT SUBJECT (Novelty),"Joe Rock, Producer",0,,
Little Women,1933,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",0,,
Little Women,1950,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",0,,
Little Women,2020,COSTUME DESIGN,Jacqueline Durran,0,,
One Way Passage,1933,WRITING (Original Story),Robert Lord,0,,
It Happened One Night,1935,ACTOR,Clark Gable,0,,
It Happened One Night,1935,ACTRESS,Claudette Colbert,0,,
It Happened One Night,1935,DIRECTING,Frank Capra,0,,
It Happened One Night,1935,OUTSTANDING PRODUCTION,Columbia,0,,
It Happened One Night,1935,WRITING (Adaptation),Robert Riskin,0,,
The Merry Widow,1935,ART DIRECTION,"Cedric Gibbons, Fredric Hope",0,,
Viva Villa!,1935,ASSISTANT DIRECTOR,John Waters,0,,
Cleopatra,1935,CINEMATOGRAPHY,Victor Milner,0,,
Cleopatra,1964,ART DIRECTION (Color),"Art Direction:  John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga;  Set Decoration:  Walter M. Scott, Paul S. Fox, Ray Moyer",0,,
Cleopatra,1964,CINEMATOGRAPHY (Color),Leon Shamroy,0,,
Cleopatra,1964,COSTUME DESIGN (Color),"Irene Sharaff, Vittorio Nino Novarese, Renie",0,,
Cleopatra,1964,SPECIAL EFFECTS,"Emil Kosa, Jr.",0,,
