title,year,status,award,movie
Succession,2024,Winner,Best Television Series - Drama,
Mission: Impossible - Dead Reckoning Part 1,2024,Nominee,Cinematic and Box Office Achievement,
"Last of Us, The",2024,Nominee,Best Television Series - Drama,
Taylor Swift: The Eras Tour,2024,Nominee,Cinematic and Box Office Achievement,
John Wick: Chapter 4,2024,Nominee,Cinematic and Box Office Achievement,
The Super Mario Bros. Movie,2024,Nominee,Cinematic and Box Office Achievement,
Guardians of the Galaxy Vol. 3,2024,Nominee,Cinematic and Box Office Achievement,
Spider-Man: Across the Spider-Verse,2024,Nominee,Cinematic and Box Office Achievement,
Oppenheimer,2024,Nominee,Cinematic and Box Office Achievement,
Barbie,2024,Winner,Cinematic and Box Office Achievement,
Succession,2024,Winner,Best Television Series - Drama,
Mission: Impossible - Dead Reckoning Part 1,2024,Nominee,Cinematic and Box Office Achievement,
"Last of Us, The",2024,Nominee,Best Television Series - Drama,
Taylor Swift: The Eras Tour,2024,Nominee,Cinematic and Box Office Achievement,
John Wick: Chapter 4,2024,Nominee,Cinematic and Box Office Achievement,
The Super Mario Bros. Movie,2024,Nominee,Cinematic and Box Office Achievement,
Guardians of the Galaxy Vol. 3,2024,Nominee,Cinematic and Box Office Achievement,
Spider-Man: Across the Spider-Verse,2024,Nominee,Cinematic and Box Office Achievement,
Oppenheimer,2024,Nominee,Cinematic and Box Office Achievement,
Barbie,2024,Winner,Cinematic and Box Office Achievement,
Yorgos Lanthimos,2024,Nominee,Best Director - Motion Picture,Poor Things
Sarah Snook,2024,Winner,Best Performance by a Female Actor in a Television Series – Drama,Succession
Greta Gerwig,2024,Nominee,Best Director - Motion Picture,Barbie
Christopher Nolan,2024,Winner,Best Director - Motion Picture,Oppenheimer
Bella Ramsey,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,"Last of Us, The"
Martin Scorsese,2024,Nominee,Best Director - Motion Picture,Killers of the Flower Moon
Keri Russell,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,"Diplomat, The"
Mark Ruffalo,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Poor Things
Charles Melton,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,May December
Ryan Gosling,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Barbie
Yorgos Lanthimos,2024,Nominee,Best Director - Motion Picture,Poor Things
Sarah Snook,2024,Winner,Best Performance by a Female Actor in a Television Series – Drama,Succession
Greta Gerwig,2024,Nominee,Best Director - Motion Picture,Barbie
Christopher Nolan,2024,Winner,Best Director - Motion Picture,Oppenheimer
Bella Ramsey,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,"Last of Us, The"
Martin Scorsese,2024,Nominee,Best Director - Motion Picture,Killers of the Flower Moon
Keri Russell,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,"Diplomat, The"
Mark Ruffalo,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Poor Things
Charles Melton,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,May December
Ryan Gosling,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Barbie
The Zone of Interest,2024,Nominee,Best Motion Picture – Non-English Language,
Society of the Snow,2024,Nominee,Best Motion Picture – Non-English Language,
Past Lives,2024,Nominee,Best Motion Picture – Non-English Language,
Io Capitano,2024,Nominee,Best Motion Picture – Non-English Language,
"Diplomat, The",2024,Nominee,Best Television Series - Drama,
Fallen Leaves,2024,Nominee,Best Motion Picture – Non-English Language,
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language,
Helen Mirren,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,1923
Wish,2024,Nominee,Best Motion Picture - Animated,
Suzume,2024,Nominee,Best Motion Picture - Animated,
The Zone of Interest,2024,Nominee,Best Motion Picture – Non-English Language,
Society of the Snow,2024,Nominee,Best Motion Picture – Non-English Language,
Past Lives,2024,Nominee,Best Motion Picture – Non-English Language,
Io Capitano,2024,Nominee,Best Motion Picture – Non-English Language,
"Diplomat, The",2024,Nominee,Best Television Series - Drama,
Fallen Leaves,2024,Nominee,Best Motion Picture – Non-English Language,
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language,
Helen Mirren,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,1923
Wish,2024,Nominee,Best Motion Picture - Animated,
