Movie_ID,Movie_Name
id1, Leave the World Behind
id2, Wonka
id3, Poor Things
id4, Killers of the Flower Moon
id5, May December
id6, The Hunger Games: The Ballad of Songbirds & Snakes
id7, Napoleon
id8, Oppenheimer
id9, Love Actually
id10, Candy Cane Lane
id11, Saltburn
id12, Barbie
id13, National Lampoon's Christmas Vacation
id14, Rebel Moon - Part One: A Child of Fire
id15, The Family Plan
id16, The Holdovers
id17, Family Switch
id18, Indiana Jones and the Dial of Destiny
id19, Elf
id20, How the Grinch Stole Christmas
id21, Maestro
id22, Mr. Monk's Last Case: A Monk Movie
id23, The Iron Claw
id24, Leo
id25, Fast Charlie
id26, The Creator
id27, The Grinch
id28, Chicken Run: Dawn of the Nugget
id29, Die Hard
id30, The Killer
id31, The Super Mario Bros. Movie
id32, Violent Night
id33, Home Alone 2: Lost in New York
id34, A Haunting in Venice
id35, The Marvels
id36, Wish
id37, The Polar Express
id38, It's a Wonderful Life
id39, Five Nights at Freddy's
id40, The Shift
id41, The Santa Clause
id42, Christmas on Cherry Lane
id43, White Christmas
id44, Finestkind
id45, Thanksgiving
id46, The Holiday
id47, The Hunger Games
id48, The Boys in the Boat
id49, A Christmas Story
id50, The Color Purple
id51, Willy Wonka & the Chocolate Factory
id52, Trolls Band Together
id53, Scrooged
id54, Ferrari
id55, No Hard Feelings
id56, Charlie and the Chocolate Factory
id57, Lady Ballers
id58, X
id59, Mission: Impossible - Dead Reckoning Part One
id60, Spider-Man: Across the Spider-Verse
id61, Asteroid City
id62, Blue Beetle
id63, Eileen
id64, Love and Monsters
id65, Dune
id66, Spirited
id67, Miracle on 34th Street
id68, Dream Scenario
id69, Jingle All the Way
id70, Priscilla
id71, Talk to Me
id72, The Batman
id73, Everything Everywhere All at Once
id74, Harry Potter and the Sorcerer's Stone
id75, American Fiction
id76, Interstellar
id77, All of Us Strangers
id78, Migration
id79, Genie
id80, Klaus
id81, The Shawshank Redemption
id82, Silver and the Book of Dreams
id83, Cat Person
id84, A Christmas Carol
id85, Last Christmas
id86, Reptile
id87, The Suicide Squad
id88, Gremlins
id89, The Godfather
id90, The Wolf of Wall Street
id91, The Equalizer 3
id92, Merry Little Batman
id93, Underwater
id94, Taylor Swift: The Eras Tour
id95, Christmas with the Kranks
id96, John Wick: Chapter 4
id97, The Santa Clause 2
id98, Gran Turismo
id99, Chicken Run
id100, Four Christmases
id101, Mad Max: Fury Road
id102, Home Alone 3
id103, Glory
id104, Your Christmas or Mine 2
id105, Suicide Squad
id106, In the Land of Saints and Sinners
id107, The Muppet Christmas Carol
id108, The Family Stone
id109, Office Christmas Party
id110, The Lord of the Rings: The Fellowship of the Ring
id111, Pride & Prejudice
id112, Gladiator
id113, The Hunger Games: Catching Fire
id114, Freelance
id115, The Dark Knight
id116, Blade Runner 2049
id117, Pulp Fiction
id118, The Age of Adaline
id119, Feast of the Seven Fishes
id120, The Exorcist: Believer
id121, Bad Santa
id122, The Silencing
id123, Scott Pilgrim vs. the World
id124, Holiday in the Vineyards
id125, Guardians of the Galaxy Vol. 3
id126, Fast X
id127, Sound of Freedom
id128, Predestination
id129, Krampus
id130, Fight Club
id131, L.A. Confidential
id132, Transformers: Rise of the Beasts
id133, Top Gun: Maverick
id134, Beverly Hills Cop
id135, The Christmas Chronicles
id136, Your Christmas or Mine?
id137, Dungeons & Dragons: Honor Among Thieves
id138, Pearl
id139, The Nightmare Before Christmas
id140, Deck the Halls
id141, The Oath
id142, Bottoms
id143, Once Upon a Time in Hollywood
id144, Avatar: The Way of Water
id145, Love
id146, Inception
id147, The Goonies
id148, Saw X
id149, Godzilla
id150, It's a Wonderful Knife
id151, A Christmas Story Christmas
id152, Babylon
id153, Whiplash
id154, There's Something in the Barn
id155, Titanic
id156, Shazam! Fury of the Gods
id157, A Good Person
id158, Journey to Bethlehem
id159, Die Hard 2
id160, Fair Play
id161, The Wizard of Oz
id162, Fargo
id163, Dumb Money
id164, Love Story
id165, Requiem for a Dream
id166, The Favourite
id167, Nyad
id168, Goodfellas
id169, Midsommar
id170, Diary of a Wimpy Kid Christmas: Cabin Fever
id171, Silent Night
id172, EXmas
id173, The Gentlemen
id174, Santa's Slay
id175," The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
id176, Inglourious Basterds
id177, Godzilla vs. Kong
id178, Mean Girls
id179, The Family Man
id180, She's All That
id181, Triangle of Sadness
id182, Black Swan
id183, Kingdom of Heaven
id184, The Naughty Nine
id185, The Northman
id186, Prometheus
id187, Spider-Man: No Way Home
id188, The Rocky Horror Picture Show
id189, Se7en
id190, Elemental
id191, Origin
id192, Hunter Killer
id193, Pain Hustlers
id194, The Silence of the Lambs
id195, Joker
id196, The Flash
id197, Old Dads
id198, The Princess Bride
id199, American Beauty
id200, Jurassic Park
id201, Heat
id202, Léon: The Professional
id203, Harry Potter and the Goblet of Fire
id204, Waitress: The Musical
id205, The Menu
id206, Expend4bles
id207, Godzilla: King of the Monsters
id208, Little Women
id209, The Killing of a Sacred Deer
id210, American Psycho
id211, Fred Claus
id212, Eyes Wide Shut
id213, Eight Crazy Nights
id214, The Sacrifice Game
id215, Beau Is Afraid
id216, Django Unchained
id217, Harry Potter and the Deathly Hallows: Part 2
id218, Schindler's List
id219, Sing 2
id220, The Lord of the Rings: The Return of the King
id221, The Departed
id222, Promising Young Woman
id223, The Night Before
id224, Bullet Train
id225, The Covenant
id226, Dashing Through the Snow
id227, Kung Fu Panda
id228, Beauty and the Beast
id229, Don't Worry Darling
id230, The Little Mermaid
id231, Forrest Gump
id232, Noelle
id233, Lucy
id234, There Will Be Blood
id235, The Santa Clause 3: The Escape Clause
id236, Avengers: Endgame
id237, Jack Frost
id238, Vacation
id239, Teenage Mutant Ninja Turtles: Mutant Mayhem
id240, Frozen
id241, No Country for Old Men
id242, Raiders of the Lost Ark
id243, The Hunger Games: Mockingjay - Part 2
id244, The Matrix
id245, American Pie
id246, No Time to Die
id247, Watchmen
id248, Apocalypse Now
id249, Tombstone
id250, Alien
id251, Please Don't Destroy: The Treasure of Foggy Mountain
id252, Gone Girl
id253, Saving Private Ryan
id254, The Notebook
id255, The Big Lebowski
id256, Twilight
id257, The Raven
id258, The Whale
id259, Scarface
id260, Blade Runner
id261, Fifty Shades of Grey
id262, Back to the Future
id263, The Green Mile
id264, A Boy Called Christmas
id265, Wind River
id266, John Wick
id267, Holidate
id268, Uncharted
id269, Infinity Pool
id270, Barry Lyndon
id271, Bone Tomahawk
id272, 10 Things I Hate About You
id273, The Marsh King's Daughter
id274, Harry Potter and the Prisoner of Azkaban
id275, Good Will Hunting
id276, Don't Look Up
id277, The Prestige
id278, Incident in a Ghostland
id279," Crazy, Stupid, Love."
id280, Joy Ride
id281, Men
id282, Black Christmas
id283, The Banshees of Inisherin
id284, The Hunger Games: Mockingjay - Part 1
id285, Prisoners
id286, Trading Places
id287, Death on the Nile
id288, Man of Steel
id289, Santa Claus
id290, Renaissance: A Film by Beyoncé
id291, Aquaman
id292, Shutter Island
id293, Harry Potter and the Chamber of Secrets
id294, Troy
id295, Spider-Man: Into the Spider-Verse
id296, The Dark Knight Rises
id297, Hypnotic
id298, Call Me by Your Name
id299, Get Out
id300, Some Like It Hot
id301, Meg 2: The Trench
id302, Love Hard
id303, Eternal Sunshine of the Spotless Mind
id304, 300
id305, We're the Millers
id306, Arthur Christmas
id307, Green Book
id308, Theater Camp
id309, Top Gun
id310, Tenet
id311, 12 Angry Men
id312, The Portrait
id313, Burlesque
id314, BlackBerry
id315, Casino Royale
id316, Star Wars: Episode IV - A New Hope
id317, The Lobster
id318, Silent Hill
id319, Jack Reacher
id320, Fiddler on the Roof
id321, Glass Onion
id322, Memory
id323, The Many Saints of Newark
id324, Pirates of the Caribbean: The Curse of the Black Pearl
id325, The Longest Ride
id326, A Man Called Otto
id327, Aliens
id328, No One Will Save You
id329, Holiday Inn
id330, The Deer Hunter
id331," Are You There God? It's Me, Margaret."
id332, The Help
id333, Terminator 2: Judgment Day
id334, La La Land
id335, The Truman Show
id336, The Sound of Music
id337, The Outsiders
id338, Taxi Driver
id339, Fast Times at Ridgemont High
id340, Evil Dead Rise
id341, Hereditary
id342, Her
id343, The Irishman
id344, Catch Me If You Can
id345, The Shining
id346, Knives Out
id347, Next Goal Wins
id348, The Last Voyage of the Demeter
id349, Air
id350, Christmas with the Chosen: Holy Night
id351, She's the Man
id352, Better Watch Out
id353, How to Have Sex
id354, The Fast and the Furious
id355, Tropic Thunder
id356, Nobody
id357, Murder on the Orient Express
id358, The Secret Life of Walter Mitty
id359, Christmas in Connecticut
id360, Love & Other Drugs
id361, The Equalizer
id362, Ford v Ferrari
id363, Aftersun
id364, Mob Land
id365, Divergent
id366, Totally Killer
id367, Taken
id368, Strays
id369, The Burial
id370, Pretty Woman
id371, Renfield
id372, Happiest Season
id373, Ghosted
id374, Mulholland Drive
id375, Drive
id376, The Man Who Invented Christmas
id377, The Lord of the Rings: The Two Towers
id378, Sisu
id379, Superbad
id380, Ghostbusters
id381," Planes, Trains & Automobiles"
id382, Green Lantern
id383, Wifelike
id384, Cruella
id385, Harry Potter and the Deathly Hallows: Part 1
id386, The Christmas Chronicles: Part Two
id387, Good Burger 2
id388, Where the Crawdads Sing
id389, The Abyss
id390, The Godfather Part II
id391, The Fifth Element
id392, 8-Bit Christmas
id393, Black Adam
id394, Mr. & Mrs. Smith
id395, Memento
id396, Avatar
id397, All Souls
id398, Gerald's Game
id399, 65
id400, Paper Moon
id401, The Nun II
id402, Cobweb
id403, Boyz n the Hood
id404, The Dreamers
id405, A Creature Was Stirring
id406, The Bikeriders
id407, Deadpool
id408, Alien: Covenant
id409, Kill Bill: Vol. 1
id410, Last Night in Soho
id411, Ready or Not
id412, The Hobbit: An Unexpected Journey
id413, Hidden Figures
id414, Good Boys
id415, Point Break
id416, Skyfall
id417, Barbarian
id418, The Hateful Eight
id419, 2001: A Space Odyssey
id420, How the Gringo Stole Christmas
id421, Meet Me in St. Louis
id422, Birds of Prey
id423, The Nutcracker and the Four Realms
id424, The Great Gatsby
id425, Old
id426, The Usual Suspects
id427, Me Before You
id428, Free Guy
id429, Dead Poets Society
id430, Harry Potter and the Order of the Phoenix
id431, From Dusk Till Dawn
id432, Kong: Skull Island
id433, A Beautiful Mind
id434, Ex Machina
id435, Thor: Love and Thunder
id436, Dazed and Confused
id437, Sicario
id438, Unfaithful
id439, The Retirement Plan
id440, The Mist
id441, Indiana Jones and the Temple of Doom
id442, Shazam!
id443, Smile
id444, Home Sweet Home Alone
id445, Lolita
id446, Rustin
id447, Cars
id448, Kandahar
id449, Nymphomaniac: Vol. I
id450, A Bad Moms Christmas
id451, Lady Bird
id452, The Exorcist
id453, Network
id454, It
id455, Scream VI
id456, Amsterdam
id457, Excalibur
id458, Guardians of the Galaxy
id459, The Terminator
id460, The Place Beyond the Pines
id461, Secretary
id462, The Thing
id463, RoboCop
id464, Spider-Man
id465, The Martian
id466, The Greatest Showman
id467, I Can Only Imagine
id468, Mother!
id469, The Talented Mr. Ripley
id470, National Lampoon's Animal House
