title,year,status,award
Succession,2024,Winner,Best Television Series - Drama
Mission: Impossible - Dead Reckoning Part 1,2024,Nominee,Cinematic and Box Office Achievement
"Last of Us, The",2024,Nominee,Best Television Series - Drama
Taylor Swift: The Eras Tour,2024,Nominee,Cinematic and Box Office Achievement
John Wick: Chapter 4,2024,Nominee,Cinematic and Box Office Achievement
The Super Mario Bros. Movie,2024,Nominee,Cinematic and Box Office Achievement
Guardians of the Galaxy Vol. 3,2024,Nominee,Cinematic and Box Office Achievement
Spider-Man: Across the Spider-Verse,2024,Nominee,Cinematic and Box Office Achievement
Oppenheimer,2024,Nominee,Cinematic and Box Office Achievement
Barbie,2024,Winner,Cinematic and Box Office Achievement
Succession,2024,Winner,Best Television Series - Drama
Mission: Impossible - Dead Reckoning Part 1,2024,Nominee,Cinematic and Box Office Achievement
"Last of Us, The",2024,Nominee,Best Television Series - Drama
Taylor Swift: The Eras Tour,2024,Nominee,Cinematic and Box Office Achievement
John Wick: Chapter 4,2024,Nominee,Cinematic and Box Office Achievement
The Super Mario Bros. Movie,2024,Nominee,Cinematic and Box Office Achievement
Guardians of the Galaxy Vol. 3,2024,Nominee,Cinematic and Box Office Achievement
Spider-Man: Across the Spider-Verse,2024,Nominee,Cinematic and Box Office Achievement
Oppenheimer,2024,Nominee,Cinematic and Box Office Achievement
Barbie,2024,Winner,Cinematic and Box Office Achievement
"Crown, The",2024,Nominee,Best Television Series - Drama
Christopher Nolan,2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Screenplay - Motion Picture
"Justine Triet, Arthur Harari",2024,Winner,Best Screenplay - Motion Picture
"Morning Show, The",2024,Nominee,Best Television Series - Drama
"Eric Roth, Martin Scorsese",2024,Nominee,Best Screenplay - Motion Picture
Tony McNamara,2024,Nominee,Best Screenplay - Motion Picture
"Greta Gerwig, Noah Baumbach",2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Director - Motion Picture
Bradley Cooper,2024,Nominee,Best Director - Motion Picture
Yorgos Lanthimos,2024,Nominee,Best Director - Motion Picture
Sarah Snook,2024,Winner,Best Performance by a Female Actor in a Television Series – Drama
Greta Gerwig,2024,Nominee,Best Director - Motion Picture
Christopher Nolan,2024,Winner,Best Director - Motion Picture
Bella Ramsey,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
Martin Scorsese,2024,Nominee,Best Director - Motion Picture
Keri Russell,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
Mark Ruffalo,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Charles Melton,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Ryan Gosling,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Robert Downey Jr.,2024,Winner,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Robert De Niro,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Willem Dafoe,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Da’Vine Joy Randolph,2024,Winner,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Rosamund Pike,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Julianne Moore,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Jodie Foster,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Danielle Brooks,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Emily Blunt,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
1923,2024,Nominee,Best Television Series - Drama
The Zone of Interest,2024,Nominee,Best Motion Picture – Non-English Language
Society of the Snow,2024,Nominee,Best Motion Picture – Non-English Language
Past Lives,2024,Nominee,Best Motion Picture – Non-English Language
Io Capitano,2024,Nominee,Best Motion Picture – Non-English Language
"Diplomat, The",2024,Nominee,Best Television Series - Drama
Fallen Leaves,2024,Nominee,Best Motion Picture – Non-English Language
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language
Helen Mirren,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
Wish,2024,Nominee,Best Motion Picture - Animated
Suzume,2024,Nominee,Best Motion Picture - Animated
The Zone of Interest,2024,Nominee,Best Motion Picture – Non-English Language
Society of the Snow,2024,Nominee,Best Motion Picture – Non-English Language
